"Plot17"
"Time (sec)","Angular Velocity3 (deg/sec)"
1.62,235.275791294121
1.63,231.867791217428
1.64,228.005456104297
1.65,223.580618679937
1.66,218.482490083265
1.67,212.598584038714
1.68,205.816772262836
1.69,198.028970972309
1.7,189.136999982711
1.71,179.061043012294
1.72,167.750749441032
1.73,155.198250048754
1.74,141.451231640324
1.75,126.623012120976
1.76,110.89588989008
1.77,94.5146506297845
1.78,77.7693511933336
1.79,60.9697807712727
1.8,44.4168595965309
1.81,28.3771663268638
1.82,13.0653577468262
1.83,-1.36364388466009
1.84,-14.8136532426219
1.85,-27.2400796596554
1.86,-38.6396847204735
1.87,-49.0397289873737
1.88,-58.4881044445324
1.89,-67.0452129505453
1.9,-74.7777641448139
1.91,-81.7543270616174
1.92,-88.0423228329378
1.93,-93.7061289426006
1.94,-98.8059892926187
1.95,-103.397487264456
1.96,-107.531394636843
1.97,-111.253760172603
1.98,-114.606142048489
1.99,-117.625918674152
2,-120.346635102165
2.01,-122.798355893849
2.02,-125.008009656982
2.03,-126.999713523562
2.04,-128.795073542899
2.05,-130.413458718098
2.06,-131.872248713702
2.07,-133.187056223403
2.08,-134.371925688916
2.09,-135.439510317598
2.1,-136.401229425765
2.11,-137.267408116653
2.12,-138.047401161103
2.13,-138.749702827764
2.14,-139.382044225739
2.15,-139.95147957547
2.16,-140.464462652834
2.17,-140.926914515293
2.18,-141.344283479292
2.19,-141.721598547917
2.2,-142.063515312004
2.21,-142.374357953115
2.22,-142.658156547355
2.23,-142.918678065293
2.24,-143.159454547809
2.25,-143.383807468347
2.26,-143.594868659022
2.27,-143.795598129437
2.28,-143.98879899175
2.29,-144.177129669848
2.29999999999999,-144.363113533117
2.30999999999999,-144.549146064302
2.31999999999999,-144.737499638685
2.32999999999999,-144.93032596163
2.33999999999999,-145.129656189395
2.34999999999999,-145.337398731185
2.35999999999999,-145.555334714754
2.36999999999999,-145.785111075189
2.37999999999999,-146.028231220469
2.38999999999999,-146.286043213428
2.39999999999999,-146.559725418131
2.40999999999999,-146.850269560419
2.41999999999999,-147.158461175434
2.42999999999999,-147.484857447872
2.43999999999999,-147.829762496444
2.44999999999999,-148.193200225011
2.45999999999999,-148.57488494646
2.46999999999999,-148.974190098541
2.47999999999999,-149.390115505403
2.48999999999999,-149.821253795977
2.49999999999999,-150.265756772466
2.50999999999999,-150.721302715023
2.51999999999999,-151.185065812273
2.52999999999999,-151.653689098387
2.53999999999999,-152.123262442068
2.54999999999999,-152.589307242679
2.55999999999999,-153.046769652742
2.56999999999999,-153.49002261114
2.57999999999999,-153.912882885733
2.58999999999999,-154.308634594123
2.59999999999999,-154.670069619482
2.60999999999999,-154.989538746442
2.61999999999999,-155.259012927989
2.62999999999999,-155.47015244568
2.63999999999999,-155.614379928313
2.64999999999999,-155.682952161779
2.65999999999999,-155.667024889859
2.66999999999999,-155.557703901951
2.67999999999999,-155.34607576177
2.68999999999999,-155.023211563126
2.69999999999999,-154.580138054199
2.70999999999999,-154.007771588414
2.71999999999999,-153.296812067339
2.72999999999999,-152.437595907326
2.73999999999999,-151.419909153129
2.74999999999999,-150.232764059426
2.75999999999999,-148.864144800434
2.76999999999998,-147.30073067818
2.77999999999998,-145.527608620851
2.78999999999998,-143.527991622989
2.79999999999998,-141.282967074282
2.80999999999998,-138.771310230728
2.81999999999998,-135.969415573987
2.82999999999998,-132.85142554188
2.83999999999998,-129.389675849132
2.84999999999998,-125.555636492656
2.85999999999998,-121.321599649632
2.86999999999998,-116.663486501659
2.87999999999998,-111.565235455109
2.88999999999998,-106.025346066574
2.89999999999998,-100.066113265672
2.90999999999998,-93.7457611423561
2.91999999999998,-87.1727572535787
2.92999999999998,-80.5197289498465
2.93999999999998,-74.031579948405
2.94999999999998,-68.0196019279123
2.95999999999998,-62.8332928504938
2.96999999999998,-58.8078396387551
2.97999999999998,-56.1983568172649
2.98999999999998,-55.1247833575391
2.99999999999998,-55.5516126388627
3.00999999999998,-57.3101542660905
3.01999999999998,-60.1496136295466
3.02999999999998,-63.7933085360932
3.03999999999998,-67.9817805197872
3.04999999999998,-72.4965699143725
3.05999999999998,-77.1675410568839
3.06999999999998,-81.8699565560501
3.07999999999998,-86.5168668374759
3.08999999999998,-91.0504175704593
3.09999999999998,-95.4338937567475
3.10999999999998,-99.6451595809177
3.11999999999998,-103.671546436816
3.12999999999998,-107.505990029469
3.13999999999998,-111.144154850358
3.14999999999998,-114.582306454983
3.15999999999998,-117.815743570555
3.16999999999998,-120.83765741831
3.17999999999998,-123.638334398818
3.18999999999998,-126.204656999368
3.19999999999998,-128.519885293272
3.20999999999998,-130.563717771416
3.21999999999998,-132.312634423913
3.22999999999998,-133.740517700918
3.23999999999997,-134.819528581009
3.24999999999997,-135.521189026527
3.25999999999997,-135.817592458968
3.26999999999997,-135.682638244472
3.27999999999997,-135.0931708943
3.28999999999997,-134.029905997855
3.29999999999997,-132.478044878597
3.30999999999997,-130.427516335039
3.31999999999997,-127.872829996911
3.32999999999997,-124.81257254202
3.33999999999997,-121.248616420803
3.34999999999997,-117.185134485253
3.35999999999997,-112.627520905972
3.36999999999997,-107.581310765173
3.37999999999997,-102.051172290237
3.38999999999997,-96.0400223622601
3.39999999999997,-89.5482926734879
3.40999999999997,-82.5733542534349
3.41999999999997,-75.1090938809309
3.42999999999997,-67.1456275685215
3.43999999999997,-58.6691333178742
3.44999999999997,-49.6617867394726
3.45999999999997,-40.1017878926882
3.46999999999997,-29.9634750163966
3.47999999999997,-19.2175301751282
3.48999999999997,-7.83129302882217
3.49999999999997,4.23078803541899
3.50999999999997,17.0065231889951
3.51999999999997,30.5351057522179
3.52999999999997,44.8559147114274
3.53999999999997,60.0068977051986
3.54999999999997,76.0224224749079
3.55999999999997,92.930479922582
3.56999999999997,110.749136849927
3.57999999999997,129.482185995649
3.58999999999997,149.114044859136
3.59999999999997,169.604128229462
3.60999999999997,190.881184803748
3.61999999999997,212.838421485813
3.62999999999997,235.330579924186
3.63999999999997,258.174383673061
3.64999999999997,281.153742417823
3.65999999999997,304.030639468074
3.66999999999997,326.561672015392
3.67999999999997,348.518928124882
3.68999999999997,369.712672140976
3.69999999999997,390.012680400504
3.70999999999996,409.365375058095
3.71999999999996,427.805116561899
3.72999999999996,445.459720486197
3.73999999999996,462.551892136282
3.74999999999996,479.399392674753
3.75999999999996,496.41722454518
3.76999999999996,514.125018245744
3.77999999999996,533.162080956869
3.78999999999996,554.310499629739
3.79999999999996,578.520252499609
3.80999999999996,606.910897529139
3.81999999999996,640.665190499333
3.82999999999996,680.567831808396
3.83999999999996,725.587224445217
3.84999999999996,769.703811392616
3.85999999999996,798.901029345756
3.86999999999996,798.12512016452
3.87999999999996,768.389691954949
3.88999999999996,725.248614289214
3.89999999999996,681.771373059139
3.90999999999996,643.257059089347
3.91999999999996,610.492629386118
3.92999999999996,582.662634204698
3.93999999999996,558.607076070344
3.94999999999996,537.227783526145
3.95999999999996,517.582984483296
3.96999999999996,498.887761953192
3.97999999999996,480.495085124648
3.98999999999996,461.880268854396
3.99999999999996,442.633968328461
4.00999999999996,422.462521142026
4.01999999999996,401.191893174799
4.02999999999996,378.770326057232
4.03999999999996,355.264775604313
4.04999999999996,330.847679960766
4.05999999999996,305.77329679589
4.06999999999996,280.346210886962
4.07999999999996,254.887113043053
4.08999999999996,229.701709493542
4.09999999999996,205.05728112647
4.10999999999996,181.168957418475
4.11999999999996,158.195221545297
4.12999999999996,136.240568211336
4.13999999999996,115.36259766207
4.14999999999996,95.5811175718726
4.15999999999996,76.8874687666657
4.16999999999996,59.2530067464287
4.17999999999996,42.6362515236419
4.18999999999996,26.9886074788588
4.19999999999995,12.2587737014617
