"Plot14"
"Time (sec)","Linear Displacement1 (mm)","Linear Displacement2 (mm)","Linear Displacement3 (mm)"
0,25.000000000001,4644.30632335511,-1363.84013377723
0.01,25.000000000001,4644.29580513745,-1364.36752663826
0.02,25.000000000001,4644.26429929892,-1365.9496892508
0.03,25.000000000001,4644.21195240392,-1368.58657498725
0.04,25.000000000001,4644.13900904027,-1372.27810497955
0.05,25.000000000001,4644.0458122334,-1377.02416691011
0.06,25.000000000001,4643.93280406424,-1382.82461310191
0.07,25.000000000001,4643.80052648228,-1389.67925797607
0.08,25.000000000001,4643.64962229701,-1397.58787492357
0.09,25.000000000001,4643.48083641169,-1406.55019242781
0.1,25.000000000001,4643.29501725742,-1416.56588951919
0.11,25.000000000001,4643.09311844204,-1427.63459051417
0.12,25.000000000001,4642.87620069867,-1439.7558587819
0.13,25.000000000001,4642.64543407679,-1452.92918966976
0.14,25.000000000001,4642.40210043498,-1467.15400239576
0.15,25.000000000001,4642.14759624756,-1482.42963083652
0.16,25.000000000001,4641.88343574622,-1498.75531310946
0.17,25.000000000001,4641.61125442427,-1516.13017981168
0.18,25.000000000001,4641.33281292365,-1534.5532408139
0.19,25.000000000001,4641.05000133405,-1554.02337043369
0.2,25.000000000001,4640.76484392477,-1574.53929084026
0.21,25.000000000001,4640.4795043362,-1596.09955352507
0.22,25.000000000001,4640.1962912576,-1618.70251862593
0.23,25.000000000001,4639.91766460657,-1642.34633188946
0.24,25.000000000001,4639.64624222627,-1667.02889904525
0.25,25.000000000001,4639.3848071199,-1692.74785733132
0.26,25.000000000001,4639.13631523544,-1719.50054387308
0.27,25.000000000001,4638.90390380118,-1747.28396059046
0.28,25.000000000001,4638.69090020336,-1776.09473528124
0.29,25.000000000001,4638.50083139141,-1805.92907848817
0.3,25.000000000001,4638.33743378445,-1836.78273570642
0.31,25.000000000001,4638.20466363405,-1868.65093443624
0.32,25.000000000001,4638.10670777499,-1901.52832553384
0.33,25.000000000001,4638.04799467142,-1935.40891825217
0.34,25.000000000001,4638.03320570027,-1970.28600831626
0.35,25.000000000001,4638.0672861948,-2006.15209814757
0.36,25.000000000001,4638.15545666855,-2042.99880864454
0.37,25.000000000001,4638.30322325532,-2080.81678131096
0.38,25.000000000001,4638.51638745123,-2119.59556987146
0.39,25.000000000001,4638.80105453581,-2159.32352017086
0.4,25.000000000001,4639.16364011168,-2199.98763712556
0.41,25.000000000001,4639.61087409696,-2241.57343742431
0.42,25.000000000001,4640.14980114197,-2284.06478652874
0.43,25.000000000001,4640.7877763998,-2327.44371856629
0.44,25.000000000001,4641.5324550749,-2371.69023763587
0.45,25.000000000001,4642.39177393531,-2416.78209920936
0.46,25.000000000001,4643.37392236897,-2462.69457049261
0.47,25.000000000001,4644.48730000862,-2509.40016906558
0.48,25.000000000001,4645.74045713888,-2556.86837981963
0.49,25.000000000001,4647.14201314031,-2605.06535134326
0.5,25.000000000001,4648.70054703941,-2653.95357462051
0.51,25.000000000001,4650.42445277037,-2703.49154942335
0.52,25.000000000001,4652.32175003364,-2753.63344741005
0.53,25.000000000001,4654.39983959711,-2804.32878602937
0.54,25.000000000001,4656.66518961236,-2855.52213432748
0.55,25.000000000001,4659.12293707502,-2907.15288110596
0.56,25.000000000001,4661.77638619162,-2959.15510800657
0.57,25.000000000001,4664.62638350134,-3011.45762517996
0.58,25.000000000001,4667.67054877715,-3063.98424489761
0.59,25.000000000001,4670.90234191985,-3116.65438744194
0.6,25.000000000001,4674.3099503768,-3169.38413089874
0.61,25.000000000001,4677.87499107943,-3222.08782616962
0.62,25.000000000001,4681.57103455441,-3274.68039315938
0.63,25.000000000001,4685.36198039556,-3327.0803803301
