"Plot15"
"Time (sec)","Velocity2 (mm/sec)","Velocity3 (mm/sec)","Velocity4 (mm/sec)"
0.830000000000001,1.3949117475958e-12,-4393.55322885742,-5519.82025347875
0.840000000000001,1.41171791322948e-12,-5312.39056910129,-5505.64672694569
0.850000000000001,1.42852407886317e-12,-6269.85499958643,-5451.84071148
0.860000000000001,1.44533024449685e-12,-7201.10544197981,-5364.14174334332
0.870000000000001,1.46213641013054e-12,-8048.21625106321,-5255.00317997418
0.880000000000001,1.47894257576422e-12,-8777.71004401095,-5138.36700004799
0.890000000000001,1.49574874139791e-12,-9382.58065651347,-5025.10530406449
0.900000000000001,1.51255490703159e-12,-9873.30731095071,-4921.51322590494
0.910000000000001,1.52936107266528e-12,-10267.6146985311,-4830.08699089169
0.920000000000001,1.54616723829896e-12,-10583.8586410472,-4750.96006509132
0.930000000000001,1.56297340393264e-12,-10838.0736937756,-4683.09066310701
0.940000000000001,1.57977956956633e-12,-11043.2089016002,-4625.0070569765
0.950000000000001,1.59658573520001e-12,-11209.3350972811,-4575.20656099707
0.960000000000001,1.6133919008337e-12,-11344.1600386641,-4532.34259712234
0.970000000000001,1.63019806646738e-12,-11453.5640535553,-4495.29756211953
0.980000000000001,1.64700423210107e-12,-11542.0587515012,-4463.19907275678
0.990000000000001,1.66381039773475e-12,-11613.1514886803,-4435.40999952775
1,1.68061656336843e-12,-11669.6262960957,-4411.50701554441
1.01,1.69742272900212e-12,-11713.7585258367,-4391.25418982507
1.02,1.7142288946358e-12,-11747.4790376569,-4374.57392515827
1.03,1.73103506026949e-12,-11772.5004106439,-4361.51572723268
1.04,1.74784122590317e-12,-11790.4141175988,-4352.22249242801
1.05,1.76464739153686e-12,-11802.7647224728,-4346.89388579764
1.06,1.78145355717054e-12,-11811.1049429636,-4345.74656953629
1.07,1.79825972280422e-12,-11817.0338090418,-4348.97140450047
1.08,1.81506588843791e-12,-11822.2190321996,-4356.68818382207
1.09,1.83187205407159e-12,-11828.4039571238,-4368.89891651721
1.1,1.84867821970528e-12,-11837.3990018608,-4385.44111626969
1.11,1.86548438533896e-12,-11851.0572202973,-4405.94293782054
1.12,1.88229055097265e-12,-11871.2334725037,-4429.78233059962
1.13,1.89909671660633e-12,-11899.7266239451,-4456.05264527063
1.14,1.91590288224001e-12,-11938.2042157803,-4483.53733767792
1.15,1.9327090478737e-12,-11988.1092195871,-4510.6965578372
1.16,1.94951521350738e-12,-12050.5489599021,-4535.66843246037
1.17,1.96632137914107e-12,-12126.1672958023,-4556.28759351999
1.18,1.98312754477475e-12,-12215.0029951317,-4570.12265613679
1.19,1.99993371040843e-12,-12316.3401480677,-4574.53236714002
1.2,2.01673987604212e-12,-12428.5603759829,-4566.73625980504
1.21,2.0335460416758e-12,-12549.0106880432,-4543.88897174636
1.22,2.05035220730949e-12,-12673.9030677818,-4503.1372218379
1.23,2.06715837294317e-12,-12798.2586124719,-4441.62480268515
1.24,2.08396453857686e-12,-12915.8954967582,-4356.39490518487
1.25,2.10077070421054e-12,-13019.4317630219,-4244.12238355753
1.26,2.11757686984423e-12,-13100.2293414702,-4100.59157977295
1.27,2.13438303547791e-12,-13148.1475200782,-3919.81401692015
1.28,2.15118920111159e-12,-13150.9095529869,-3692.64327382567
1.29,2.16799536674528e-12,-13092.8277415211,-3404.68800795379
1.3,2.18480153237896e-12,-12952.6298018236,-3033.29032361429
1.31,2.20160769801265e-12,-12700.4046803647,-2543.60646536944
1.32,2.21841386364633e-12,-12295.0600148071,-1885.42225943721
1.33,2.23522002928001e-12,-11688.2690829008,-997.923927532438
1.34,2.2520261949137e-12,-10849.7369661633,159.174108086401
1.35,2.26883236054738e-12,-9823.39288908534,1535.02949832568
1.36,2.28563852618107e-12,-8759.31049692156,2944.29632635179
1.37,2.30244469181475e-12,-7829.33785270156,4169.01521036582
1.38,2.31925085744843e-12,-7112.06994021656,5105.61527289035
1.39,2.33605702308212e-12,-6592.62657042464,5770.5113780172
1.4,2.3528631887158e-12,-6222.74743705309,6225.59133796085
1.41,2.36966935434948e-12,-5957.31102143831,6530.60274950853
1.42,2.38647551998317e-12,-5763.34075460754,6730.36581561607
