"Plot16"
"Time (sec)","Acceleration4 (mm/sec**2)","Acceleration5 (mm/sec**2)","Acceleration6 (mm/sec**2)"
2.50999999999999,1.68061656336843e-12,534.420004850134,-6967.58122320232
2.51999999999999,1.68061656336843e-12,625.713215965133,-6876.14963963827
2.52999999999999,1.68061656336843e-12,721.362277927974,-6780.44449497602
2.53999999999999,1.68061656336843e-12,821.521128491066,-6680.74962818551
2.54999999999999,1.68061656336843e-12,926.304114140575,-6577.41929656084
2.55999999999999,1.68061656336843e-12,1035.78833366591,-6470.88003238847
2.56999999999999,1.68061656336843e-12,1149.98633712384,-6361.61146191161
2.57999999999999,1.68061656336843e-12,1268.85778733374,-6250.14613312335
2.58999999999999,1.68061656336843e-12,1392.33944325204,-6137.06525074178
2.59999999999999,1.68061656336843e-12,1520.31688360635,-6022.96167674552
2.60999999999999,1.68061656336843e-12,1652.63625091119,-5908.41408329331
2.61999999999999,1.68061656336843e-12,1789.13133973005,-5793.96045164906
2.62999999999999,1.68061656336843e-12,1929.64471205781,-5680.06010736146
2.63999999999999,1.68061656336843e-12,2074.0563022312,-5567.05202782183
2.64999999999999,1.68061656336843e-12,2222.31996234627,-5455.11075638336
2.65999999999999,1.68061656336843e-12,2374.50697521414,-5344.20114460691
2.66999999999999,1.68061656336843e-12,2530.85624289525,-5234.03358684915
2.67999999999999,1.68061656336843e-12,2691.83075241402,-5124.0214544152
2.68999999999999,1.68061656336843e-12,2858.18001849264,-5013.24211567445
2.69999999999999,1.68061656336843e-12,3031.00843544189,-4900.40248026096
2.70999999999999,1.68061656336843e-12,3211.84999951109,-4783.80931685999
2.71999999999999,1.68061656336843e-12,3402.75066663758,-4661.34378218456
2.72999999999999,1.68061656336843e-12,3606.36062456569,-4530.43885158389
2.73999999999999,1.68061656336843e-12,3826.04003542117,-4388.05762238179
2.74999999999999,1.68061656336843e-12,4065.98323342372,-4230.66999746636
2.75999999999999,1.68061656336843e-12,4331.36791080683,-4054.22510813346
2.76999999999998,1.68061656336843e-12,4628.53744169978,-3854.11711754846
2.77999999999998,1.68061656336843e-12,4965.22594230195,-3625.14299325496
2.78999999999998,1.68061656336843e-12,5350.83672761028,-3361.45265256826
2.79999999999998,1.68061656336843e-12,5796.78494371457,-3056.49501168483
2.80999999999998,1.68061656336843e-12,6316.91333650903,-2702.96860968834
2.81999999999998,1.68061656336843e-12,6927.98435584394,-2292.79384936001
2.82999999999998,1.68061656336843e-12,7650.23851147848,-1817.13740105982
2.83999999999998,1.68061656336843e-12,8508.01536566886,-1266.50102288099
2.84999999999998,1.68061656336843e-12,9530.14744543172,-631.201519355331
