"Plot8"
"Time (sec)","Linear Velocity5 (mm/sec)","Linear Velocity6 (mm/sec)","Velocity1 (mm/sec)"
0.940000000000001,1.77207827246384e-12,-8786.2684888335,-2053.49902243397
0.950000000000001,1.79205887991719e-12,-8833.15114093026,-2068.89782120092
0.960000000000001,1.81204947101073e-12,-8876.7648933879,-2084.51506650221
0.970000000000001,1.83205417417111e-12,-8917.75426929502,-2100.14912986181
0.980000000000001,1.85207672567123e-12,-8956.74607788767,-2115.61201063501
0.990000000000001,1.87212039102395e-12,-8994.35210973091,-2130.71856294385
1,1.8921878859608e-12,-9031.17037627125,-2145.27592429019
1.01,1.91228129781843e-12,-9067.78493440459,-2159.07314671046
1.02,1.9324020085291e-12,-9104.7643523625,-2171.87106150261
1.03,1.95255062067173e-12,-9142.6588897008,-2183.39243175998
1.04,1.97272688814996e-12,-9181.99648338213,-2193.3124547126
1.05,1.9929296530317e-12,-9223.27765097778,-2201.24966849586
1.06,2.01315678989791e-12,-9266.96943772842,-2206.75729540661
1.07,2.03340515869662e-12,-9313.49854415925,-2209.31501311706
1.08,2.05367056658251e-12,-9363.24377043065,-2208.32108978701
1.09,2.07394773853325e-12,-9416.52789940767,-2203.08474694466
1.1,2.0942302956799e-12,-9473.60910766885,-2192.81852928636
1.11,2.11451073926889e-12,-9534.6719383542,-2176.63036419884
1.12,2.13478043699836e-12,-9599.81778685666,-2153.51489034479
1.13,2.15502960714695e-12,-9669.05473488035,-2122.34352828095
1.14,2.17524729444935e-12,-9742.28641428639,-2081.85266387657
1.15,2.1954213300831e-12,-9819.29938239592,-2030.62922784864
1.16,2.21553826644193e-12,-9899.7482366707,-1967.09289925122
1.17,2.23558327564546e-12,-9983.13737968716,-1889.47416692979
1.18,2.25553999911474e-12,-10068.7979566178,-1795.78760159686
1.19,2.27539033433662e-12,-10155.8580243179,-1683.8000101066
1.2,2.29511414479733e-12,-10243.2034738335,-1550.99383863594
1.21,2.31468888094731e-12,-10329.4267955521,-1394.52727439562
1.22,2.33408910747523e-12,-10412.7600716313,-1211.19528377458
1.23,2.3532859459327e-12,-10490.9891613959,-997.398797816115
1.24,2.37224647398374e-12,-10561.346535535,-749.136503813609
1.25,2.39093317793737e-12,-10620.383905543,-462.042923700267
1.26,2.40930365242508e-12,-10663.8329778892,-131.51089741046
1.27,2.42731089255716e-12,-10686.4769574083,247.04540854728
1.28,2.44490473154998e-12,-10682.0796087313,677.713392065111
1.29,2.46203519653739e-12,-10643.4536117228,1163.31319448018
1.3,2.47865864637723e-12,-10562.787756886,1704.29576694187
1.31,2.49474720415264e-12,-10432.3675157719,2297.37845158743
1.32,2.51030084766485e-12,-10245.7632870969,2934.20642967569
