"Plot12"
"Time (sec)","Angular Velocity1 (deg/sec)"
1.71,-82.7674918713176
1.72,-82.1821806173804
1.73,-81.5135526470137
1.74,-80.7662940894517
1.75,-79.9449730390401
1.76,-79.0540296285649
1.77,-78.0977671932491
1.78,-77.0803446035025
1.79,-76.0057698139879
1.8,-74.8778946439516
1.81,-73.7004107801088
1.82,-72.4768469690806
1.83,-71.2105673497069
1.84,-69.904770860495
1.85,-68.5624916459508
1.86,-67.1866003798452
1.87,-65.7798064168524
1.88,-64.3446606831087
1.89,-62.8835592152192
1.9,-61.3987472600285
1.91,-59.8923238497842
1.92,-58.3662467710158
1.93,-56.8223378510826
1.94,-55.2622884860798
1.95,-53.6876653755483
1.96,-52.0999163392632
1.97,-50.5003762061032
1.98,-48.8902727615251
1.99,-47.2707326430047
2,-45.6427871751516
2.01,-44.0073781106318
2.02,-42.3653632553141
2.03,-40.7175219473715
2.04,-39.064560372
2.05,-37.4071166935365
2.06,-35.7457659967333
2.07,-34.081025027474
2.08,-32.4133567246492
2.09,-30.7431745391943
2.1,-29.0708465392312
2.11,-27.3966993030263
2.12,-25.7210216011617
2.13,-24.0440678714135
2.14,-22.3660614925079
2.15,-20.6871978633184
2.16,-19.0076472966305
2.17,-17.3275577352564
2.18,-15.6470573010601
2.19,-13.9662566878105
2.2,-12.2852514093646
2.21,-10.6041239158975
2.22,-8.92294558965176
2.23,-7.24177863482561
2.24,-5.56067787397191
2.25,-3.87969246587846
2.26,-2.19886755804144
2.27,-0.518245888974901
2.28,1.16213064592434
2.29,2.84221944961856
2.29999999999999,4.52197568584973
2.30999999999999,6.20135073329014
2.31999999999999,7.88029061786554
2.32999999999999,9.55873440765663
2.33999999999999,11.2366125568268
2.34999999999999,12.9138451842188
2.35999999999999,14.5903402723056
2.36999999999999,16.2659917740482
2.37999999999999,17.9406776129245
2.38999999999999,19.6142575648131
2.39999999999999,21.2865710090228
2.40999999999999,22.9574345361651
2.41999999999999,24.626639403742
2.42999999999999,26.2939488272191
2.43999999999999,27.9590950993989
2.44999999999999,29.6217765284383
2.45999999999999,31.2816541887065
2.46999999999999,32.9383484778868
2.47999999999999,34.5914354768152
2.48999999999999,36.240443109332
2.49999999999999,37.8848471009124
2.50999999999999,39.5240667383419
2.51999999999999,41.1574604329821
2.52999999999999,42.7843210943196
2.53999999999999,44.403871322123
2.54999999999999,46.0152584292166
2.55999999999999,47.6175493094123
2.56999999999999,49.2097251695811
2.57999999999999,50.7906761475699
2.58999999999999,52.3591958429095
2.59999999999999,53.9139757903951
2.60999999999999,55.4535999125359
2.61999999999999,56.9765389905082
2.62999999999999,58.4811451989328
2.63999999999999,59.9656467553976
2.64999999999999,61.4281427387705
2.65999999999999,62.8665981393176
2.66999999999999,64.2788392031239
2.67999999999999,65.6625491446333
2.68999999999999,67.0152642977361
2.69999999999999,68.3343707865236
2.70999999999999,69.6171017929656
2.71999999999999,70.8605355039157
2.72999999999999,72.0615938176011
2.73999999999999,73.2170418872632
2.74999999999999,74.323488576066
2.75999999999999,75.3773878887993
2.76999999999998,76.3750414375144
2.77999999999998,77.3126019836551
2.78999999999998,78.1860780195975
2.79999999999998,78.9913401018151
2.80999999999998,79.7241261540945
2.81999999999998,80.3800511579309
2.82999999999998,80.9546152325024
2.83999999999998,81.4432134376718
2.84999999999998,81.8411463956182
2.85999999999998,82.1436314717364
2.86999999999998,82.3458143849448
2.87999999999998,82.4427810988228
2.88999999999998,82.4295697802687
2.89999999999998,82.3011827017085
2.90999999999998,82.0525979674298
2.91999999999998,81.6787810871419
2.92999999999998,81.1746965622286
2.93999999999998,80.5353199263268
2.94999999999998,79.7556510659055
2.95999999999998,78.830730226685
2.96999999999998,77.7556589533787
2.97999999999998,76.5256294265629
2.98999999999998,75.1359674178317
2.99999999999998,73.5821966022463
3.00999999999998,71.8601355792501
3.01999999999998,69.9660440962432
3.02999999999998,67.8968422526011
3.03999999999998,65.6504366574006
3.04999999999998,63.2262015227214
3.05999999999998,60.6256812067738
3.06999999999998,57.853606486023
3.07999999999998,54.919333863795
3.08999999999998,51.8388680542816
3.09999999999998,48.6375994554583
3.10999999999998,45.3538860302597
3.11999999999998,42.0434517072476
3.12999999999998,38.7842540919101
3.13999999999998,35.6808645422949
3.14999999999998,32.8664876308943
3.15999999999998,30.4997640623596
3.16999999999998,28.7531974244822
3.17999999999998,27.7916371632182
3.18999999999998,27.7435264490371
3.19999999999998,28.6732130658575
3.20999999999998,30.5653880892605
3.21999999999998,33.3288648603929
3.22999999999998,36.8178704055399
3.23999999999997,40.8613421446913
3.24999999999997,45.2895615583494
3.25999999999997,49.9518768873811
3.26999999999997,54.7247306348581
3.27999999999997,59.5124769304785
3.28999999999997,64.2441933932133
3.29999999999997,68.8689966930996
3.30999999999997,73.3513514070803
3.31999999999997,77.6670513840301
3.32999999999997,81.800062501795
3.33999999999997,85.740172218428
3.34999999999997,89.481306441541
3.35999999999997,93.020356454816
3.36999999999997,96.3563806507756
3.37999999999997,99.490072391635
3.38999999999997,102.423412163632
3.39999999999997,105.159444264892
3.40999999999997,107.702135253195
3.41999999999997,110.056284569287
3.42999999999997,112.22746533555
3.43999999999997,114.221982801655
3.44999999999997,116.04683962578
3.45999999999997,117.709702541976
3.46999999999997,119.218866581458
3.47999999999997,120.583214950138
3.48999999999997,121.81217379773
3.49999999999997,122.915661979561
3.50999999999997,123.904036464133
3.51999999999997,124.78803436013
3.52999999999997,125.578712723123
3.53999999999997,126.287387303062
3.54999999999997,126.925571313499
3.55999999999997,127.504915073318
3.56999999999997,128.037147053587
3.57999999999997,128.534016401672
3.58999999999997,129.007236414235
3.59999999999997,129.468427642837
3.60999999999997,129.929058290509
3.61999999999997,130.400378217259
3.62999999999997,130.893341115345
3.63999999999997,131.418507107152
3.64999999999997,131.985914993606
3.65999999999997,132.604909454275
3.66999999999997,133.283903489244
3.67999999999997,134.030050203997
3.68999999999997,134.84879081073
3.69999999999997,135.743238136075
3.70999999999996,136.713348778801
3.71999999999996,137.754834583424
3.72999999999996,138.857783228541
3.73999999999996,140.004970619565
3.74999999999996,141.16995640807
3.75999999999996,142.315159747164
3.76999999999996,143.390340079197
3.77999999999996,144.332169593838
3.78999999999996,145.065821958479
3.79999999999996,145.509520591395
3.80999999999996,145.582528566482
3.81999999999996,145.21595672318
3.82999999999996,144.364243636041
3.83999999999996,143.014004662693
3.84999999999996,141.18713984271
3.85999999999996,138.936949483053
3.86999999999996,136.338630623124
3.87999999999996,133.477373621225
3.88999999999996,130.437426497292
3.89999999999996,127.294265104393
3.90999999999996,124.110415603458
3.91999999999996,120.934338582685
3.92999999999996,117.801333145447
3.93999999999996,114.735471710457
3.94999999999996,111.751849880883
3.95999999999996,108.858728233042
3.96999999999996,106.059372087177
3.97999999999996,103.353527933076
3.98999999999996,100.738561341427
3.99999999999996,98.2103034386092
4.00999999999996,95.7636655034137
4.01999999999996,93.3930752010004
4.02999999999996,91.0927796523959
4.03999999999996,88.8570510600336
4.04999999999996,86.6803221689241
4.05999999999996,84.5572717913678
4.06999999999996,82.4828754966001
4.07999999999996,80.4524319238189
4.08999999999996,78.4615726129922
4.09999999999996,76.5062607648415
4.10999999999996,74.5827827430513
4.11999999999996,72.6877350462063
4.12999999999996,70.8180085785342
4.13999999999996,68.9707715114431
4.14999999999996,67.1434515872602
4.15999999999996,65.3337184380861
4.16999999999996,63.5394662899738
4.17999999999996,61.7587972782514
4.18999999999996,59.9900055114947
4.19999999999995,58.231561948811
4.20999999999995,56.4821001210512
4.21999999999995,54.7404026908881
4.22999999999995,53.005388834921
4.23999999999995,51.2761024179018
4.24999999999995,49.5517009244007
4.25999999999995,47.83144511113
4.26999999999995,46.1146893422569
4.27999999999995,44.4008725712807
4.28999999999995,42.6895098830364
4.29999999999995,40.9801848182733
4.30999999999995,39.2725419990091
4.31999999999995,37.5662802361464
4.32999999999995,35.8611464121728
4.33999999999995,34.1569296361405
4.34999999999995,32.4534558516937
4.35999999999995,30.7505828713398
4.36999999999995,29.0481958020563
4.37999999999995,27.3462028391257
4.38999999999995,25.6445314018927
4.39999999999995,23.9431245937143
4.40999999999995,22.2419379657903
4.41999999999995,20.5409365645109
4.42999999999995,18.840092239461
4.43999999999995,17.1393811919502
4.44999999999995,15.4387817450321
4.45999999999995,13.7382723161178
4.46999999999995,12.0378295699059
4.47999999999995,10.3374267329878
4.48999999999995,8.63703204858703
4.49999999999995,6.93660735429538
4.50999999999995,5.2361067608818
4.51999999999995,3.53547541333245
4.52999999999995,1.83464831310176
4.53999999999995,0.133549182611346
4.54999999999995,-1.56791064749434
4.55999999999995,-3.26983334983954
4.56999999999995,-4.97233572907413
4.57999999999995,-6.67555038980972
4.58999999999995,-8.37962696232739
4.59999999999995,-10.0847334079703
4.60999999999995,-11.7910574242088
4.61999999999995,-13.4988079709927
4.62999999999995,-15.2082169393394
4.63999999999995,-16.9195409840147
4.64999999999995,-18.6330635419692
4.65999999999995,-20.3490970599753
4.66999999999994,-22.0679854531383
4.67999999999994,-23.7901068188203
4.68999999999994,-25.5158764289292
4.69999999999994,-27.2457500256103
4.70999999999994,-28.980227444579
4.71999999999994,-30.7198565913283
4.72999999999994,-32.4652377950464
4.73999999999994,-34.2170285650694
4.74999999999994,-35.9759487740831
4.75999999999994,-37.742786290174
4.76999999999994,-39.5184030786118
4.77999999999994,-41.3037417889215
4.78999999999994,-43.0998328384795
4.79999999999994,-44.9078019940723
4.80999999999994,-46.728878441528
4.81999999999994,-48.5644033156636
4.82999999999994,-50.4158386373995
4.83999999999994,-52.2847765736844
4.84999999999994,-54.1729488833144
4.85999999999994,-56.0822363312443
4.86999999999994,-58.0146783799073
4.87999999999994,-59.9724798456285
4.88999999999994,-61.9580202015489
4.89999999999994,-63.9738576506568
4.90999999999994,-66.0227310134949
4.91999999999994,-68.1075570461426
4.92999999999994,-70.2314209389813
4.93999999999994,-72.3975573339704
4.94999999999994,-74.6093181802155
4.95999999999994,-76.8701224526473
4.96999999999994,-79.1833812696189
4.97999999999994,-81.5523898704966
4.98999999999994,-83.9801755860838
4.99999999999994,-86.4692880742581
5.00999999999994,-89.0215151617233
5.01999999999994,-91.6375049109254
5.02999999999994,-94.3162730930664
5.03999999999994,-97.0545767251213
5.04999999999994,-99.8461415370493
5.05999999999994,-102.680748303506
5.06999999999994,-105.543214207434
5.07999999999994,-108.412365338879
5.08999999999994,-111.260152305236
5.09999999999994,-114.051187009198
5.10999999999994,-116.74303079829
5.11999999999994,-119.287616210354
5.12999999999994,-121.634084033299
5.13999999999993,-123.733045560302
5.14999999999993,-125.541832832919
5.15999999999993,-127.029808810231
5.16999999999993,-128.182514163471
5.17999999999993,-129.003555889067
5.18999999999993,-129.513730747113
5.19999999999993,-129.747687260952
5.20999999999993,-129.749085703607
5.21999999999993,-129.565446162627
5.22999999999993,-129.243671231406
5.23999999999993,-128.826790160029
5.24999999999993,-128.352030985568
5.25999999999993,-127.850029727436
5.26999999999993,-127.34485828291
5.27999999999993,-126.854551117221
5.28999999999993,-126.391873914131
5.29999999999993,-125.965157488412
5.30999999999993,-125.579091356278
5.31999999999993,-125.235424050287
5.32999999999993,-124.933551657154
5.33999999999993,-124.670996041629
5.34999999999993,-124.443784299415
5.35999999999993,-124.246744985589
5.36999999999993,-124.073736508133
5.37999999999993,-123.917823676748
5.38999999999993,-123.771413044007
5.39999999999993,-123.6263590579
5.40999999999993,-123.474048782633
5.41999999999993,-123.305471959734
5.42999999999993,-123.111281570384
5.43999999999993,-122.881848828141
5.44999999999993,-122.607315497053
5.45999999999993,-122.277645620343
5.46999999999993,-121.882678040607
5.47999999999993,-121.412180553148
5.48999999999993,-120.85590605949
5.49999999999993,-120.203650727382
5.50999999999993,-119.445313866072
5.51999999999993,-118.57095901558
5.52999999999993,-117.570875621869
