"Plot9"
"Time (sec)","Acceleration1 (mm/sec**2)","Acceleration2 (mm/sec**2)","Linear Acceleration2 (mm/sec**2)"
0.37,9.40855923310998e-13,-3727.6800279183,-5.60909887055532
0.38,9.40855923310998e-13,-3944.05811648328,-5.59722972782732
0.39,9.40855923310998e-13,-4169.9515669008,-5.58642588075075
0.4,9.40855923310998e-13,-4406.06916534521,-5.5768938466455
0.41,9.40855923310998e-13,-4653.21311697771,-5.56883477868346
0.42,9.40855923310998e-13,-4912.28767661261,-5.56243548077152
0.43,9.40855923310998e-13,-5184.30755318332,-5.55785631772149
0.44,9.40855923310998e-13,-5470.40553832914,-5.55521500214921
0.45,9.40855923310998e-13,-5771.83850035051,-5.55456488148189
0.46,9.40855923310998e-13,-6089.99046209453,-5.55586588035955
0.47,9.40855923310998e-13,-6426.37083276011,-5.55894562063089
0.48,9.40855923310998e-13,-6782.60494571432,-5.56344741636272
0.49,9.40855923310998e-13,-7160.41274083128,-5.56876074314789
0.5,9.40855923310998e-13,-7561.56955945038,-5.57392839803011
0.51,9.40855923310998e-13,-7987.84039345675,-5.57752283740798
0.52,9.40855923310998e-13,-8440.87530009575,-5.57748213841682
0.53,9.40855923310998e-13,-8922.04884576207,-5.57089385332318
0.54,9.40855923310998e-13,-9432.24769042296,-5.55372774141155
0.55,9.40855923310998e-13,-9971.40783145043,-5.52041374989953
0.56,9.40855923310998e-13,-10538.1628454708,-5.46346881301855
0.57,9.40855923310998e-13,-11129.1288187742,-5.37293396716531
0.58,9.40855923310998e-13,-11737.8502796361,-5.23569137648213
0.59,9.40855923310998e-13,-12353.6954579216,-5.03487812349133
0.6,9.40855923310998e-13,-12960.3780593838,-4.74936142676936
0.61,9.40855923310998e-13,-13534.3859547423,-4.35361336569043
0.62,9.40855923310998e-13,-14043.6168168859,-3.81839916246295
0.63,9.40855923310998e-13,-14446.8390900349,-3.11287771215417
0.64,9.40855923310998e-13,-14694.93830463,-2.20878003247766
0.65,9.40855923310998e-13,-14735.113183476,-1.08707472160928
0.66,9.40855923310998e-13,-14518.888716972,0.253319460336138
0.67,9.40855923310998e-13,-14013.5910031237,1.78674588413487
0.68,9.40855923310998e-13,-13214.7330978204,3.45561929604158
0.69,9.40855923310998e-13,-12154.5388291787,5.17302543300232
0.7,9.40855923310998e-13,-10901.5251977869,6.83516805006775
0.71,9.40855923310998e-13,-9549.14511846372,8.34106546049873
0.72,9.40855923310998e-13,-8196.84566082111,9.61250549521273
0.73,9.40855923310998e-13,-6930.83046399099,10.6066912601138
0.74,9.40855923310998e-13,-5811.34708184334,11.3179498769405
0.75,9.40855923310998e-13,-4869.17612349023,11.7702660787887
0.76,9.40855923310998e-13,-4109.58482915886,12.0055486020036
0.77,9.40855923310998e-13,-3519.93857621271,12.0723456001816
0.78,9.40855923310998e-13,-3077.56132952869,12.0176331419789
0.79,9.40855923310998e-13,-2755.94676342141,11.8821848437012
0.8,9.40855923310998e-13,-2528.81409861184,11.6988126474248
0.81,9.40855923310998e-13,-2372.30112367741,11.4924226341059
0.820000000000001,9.40855923310998e-13,-2265.83780082538,11.281010488377
0.830000000000001,9.40855923310998e-13,-2192.26230507271,11.076903910531
0.840000000000001,9.40855923310998e-13,-2137.49827384041,10.8880666444923
0.850000000000001,9.40855923310998e-13,-2090.10719211805,10.7191558689803
0.860000000000001,9.40855923310998e-13,-2040.80691471655,10.5723936342939
0.870000000000001,9.40855923310998e-13,-1982.04012353272,10.4482249771077
0.880000000000001,9.40855923310998e-13,-1907.61450384015,10.3458036547173
0.890000000000001,9.40855923310998e-13,-1812.4184959979,10.2633423255595
0.900000000000001,9.40855923310998e-13,-1692.20604220516,10.1983612343422
0.910000000000001,9.40855923310998e-13,-1543.43990895609,10.147863760147
0.920000000000001,9.40855923310998e-13,-1363.18261445742,10.1084609763326
0.930000000000001,9.40855923310998e-13,-1149.02494339101,10.0764625122209
0.940000000000001,9.40855923310998e-13,-899.04203363023,10.047942753412
0.950000000000001,9.40855923310998e-13,-611.772570216493,10.0188005557647
0.960000000000001,9.40855923310998e-13,-286.210530614466,9.98480669371422
0.970000000000001,9.40855923310998e-13,78.1930102896991,9.94165129872871
0.980000000000001,9.40855923310998e-13,481.522746928566,9.88499394564114
0.990000000000001,9.40855923310998e-13,923.391491368625,9.8105152398591
1,9.40855923310998e-13,1402.93461868201,9.71397241332711
1.01,9.40855923310998e-13,1918.80951568393,9.59125854426989
1.02,9.40855923310998e-13,2469.20228060292,9.43846480969971
1.03,9.40855923310998e-13,3051.84346281035,9.25194462307718
1.04,9.40855923310998e-13,3664.03410432268,9.02837813934035
1.05,9.40855923310997e-13,4302.6828214249,8.76483531998677
1.06,9.40855923310997e-13,4964.35404670377,8.45883561259448
1.07,9.40855923310997e-13,5645.32691436656,8.10840226753143
1.08,9.40855923310998e-13,6341.66353439375,7.71210945938916
1.09,9.40855923310997e-13,7049.28461190019,7.26912068950919
1.1,9.40855923310998e-13,7764.04947314558,6.77921745375033
1.11,9.40855923310998e-13,8481.83653781017,6.24281787231777
1.12,9.40855923310997e-13,9198.61906314703,5.66098594810172
1.13,9.40855923310997e-13,9910.52948236378,5.03543340726414
1.14,9.40855923310997e-13,10613.903700965,4.36851768831903
1.15,9.40855923310997e-13,11305.2940441312,3.66324173498194
1.16,9.40855923310997e-13,11981.4358207992,2.92326397531263
1.17,9.40855923310998e-13,12639.1471528853,2.15293040959936
1.18,9.40855923310998e-13,13275.1341511873,1.35734538844125
1.19,9.40855923310998e-13,13885.6629546789,0.542503762146107
1.2,9.40855923310998e-13,14465.9982078044,-0.2844614772359
1.21,9.40855923310997e-13,15009.8920342244,-1.11505208322847
1.22,9.40855923310998e-13,15507.8793951442,-1.93857694612879
1.23,9.40855923310998e-13,15946.4066185397,-2.74172381269791
1.24,9.40855923310998e-13,16305.2324989698,-3.50726190103095
1.25,9.40855923310998e-13,16554.8698454306,-4.21275424963302
1.26,9.40855923310998e-13,16653.3768731792,-4.82895193700575
1.27,9.40855923310998e-13,16543.2787253113,-5.31828405541043
1.28,9.40855923310998e-13,16149.9253363776,-5.63413646392856
1.29,9.40855923310998e-13,15383.7753884333,-5.72223061158175
1.3,9.40855923310997e-13,14150.4765171276,-5.52596951909087
1.31,9.40855923310997e-13,12371.9890002479,-4.99772712434104
1.32,9.40855923310997e-13,10019.828996516,-4.11593637399441
1.33,9.40855923310997e-13,7151.134152454,-2.90382000888612
1.34,9.40855923310997e-13,3929.09793345313,-1.43994965492567
1.35,9.40855923310997e-13,606.57585726938,0.149824257107763
1.36,9.40855923310997e-13,-2531.11007412367,1.72097837204327
1.37,9.40855923310997e-13,-5240.23892825229,3.14738680405879
1.38,9.40855923310997e-13,-7372.47974299587,4.34834905185241
1.39,9.40855923310997e-13,-8886.9040566907,5.2949834439674
1.4,9.40855923310997e-13,-9826.63022903411,5.99921932623657
1.41,9.40855923310997e-13,-10281.6578720599,6.49600952694295
1.42,9.40855923310997e-13,-10356.1918794597,6.82769737866279
1.43,9.40855923310997e-13,-10147.94264753,7.03414981681656
1.44,9.40855923310997e-13,-9738.6774194709,7.1482745674922
1.45,9.40855923310997e-13,-9192.20325004165,7.195072003541
1.46,9.40855923310997e-13,-8556.11219449972,7.1924501356592
1.47,9.40855923310997e-13,-7864.87576541941,7.15266604985541
1.48,9.40855923310997e-13,-7143.00419849052,7.08378552581428
1.49,9.40855923310997e-13,-6407.7416097924,6.9909196051874
1.5,9.40855923310997e-13,-5671.19301327314,6.87719290911204
1.51,9.40855923310997e-13,-4941.84597961861,6.74443180971814
1.52,9.40855923310997e-13,-4225.73262653519,6.59368466080468
1.53,9.40855923310997e-13,-3527.18811644553,6.42555807526635
1.54,9.40855923310997e-13,-2849.39460568669,6.24045438808352
1.55,9.40855923310997e-13,-2194.74382232326,6.03872598969273
1.56,9.40855923310997e-13,-1565.07839123842,5.820773536512
1.57,9.40855923310997e-13,-961.849097706988,5.58710471216161
1.58,9.40855923310997e-13,-386.215882979335,5.33836567580281
1.59,9.40855923310997e-13,160.893844591393,5.07535209481024
1.6,9.40855923310997e-13,678.742816914765,4.79900964469206
1.61,9.40855923310997e-13,1166.76656116201,4.51042265820406
1.62,9.40855923310997e-13,1624.56304522276,4.21079780844707
1.63,9.40855923310997e-13,2051.88575141193,3.90144429842005
1.64,9.40855923310997e-13,2448.64125049506,3.58375143594967
1.65,9.40855923310997e-13,2814.88694151714,3.25916539748931
