"Plot2"
"Time (sec)","Center of Mass Position2 (mm)","Center of Mass Position4 (mm)","Center of Mass Position5 (mm)"
0.49,3.67761376907083e-13,1875.2329987251,-715.666035640635
0.5,3.67761376907083e-13,1863.81454230906,-744.226149564692
0.51,3.67761376907083e-13,1851.63971962378,-773.353098041964
0.52,3.67761376907083e-13,1838.66588977651,-803.04775642924
0.53,3.67761376907083e-13,1824.84773773295,-833.310662934822
0.54,3.67761376907083e-13,1810.13713883281,-864.141726755562
0.55,3.67761376907083e-13,1794.48307580768,-895.539821557954
0.56,3.67761376907083e-13,1777.83164359529,-927.502227721381
0.57,3.67761376907083e-13,1760.12619233678,-960.023877269061
0.58,3.67761376907083e-13,1741.30767850058,-993.096345835368
0.59,3.67761376907083e-13,1721.31531792513,-1026.70652866716
0.6,3.67761376907083e-13,1700.08766113952,-1060.8349365271
0.61,3.67761376907083e-13,1677.56423521575,-1095.45356067184
0.62,3.67761376907083e-13,1653.68790660408,-1130.52329600778
0.63,3.67761376907083e-13,1628.40809626301,-1165.99099463325
0.64,3.67761376907083e-13,1601.68489294043,-1201.78636492794
0.65,3.67761376907083e-13,1573.49393006769,-1237.81913937675
0.66,3.67761376907083e-13,1543.83159903115,-1273.97717966885
0.67,3.67761376907083e-13,1512.71980000505,-1310.12638400752
0.68,3.67761376907083e-13,1480.2091040346,-1346.1132584124
0.69,3.67761376907083e-13,1446.37912836637,-1381.77064992249
0.7,3.67761376907083e-13,1411.33531653845,-1416.9263734816
0.71,3.67761376907083e-13,1375.20218279252,-1451.41350871987
0.72,3.67761376907083e-13,1338.11412795236,-1485.08044317262
0.73,3.67761376907083e-13,1300.20565812292,-1517.79870876186
0.74,3.67761376907083e-13,1261.60287140497,-1549.46735453973
0.75,3.67761376907083e-13,1222.41746151881,-1580.01365341459
0.76,3.67761376907083e-13,1182.74360505033,-1609.39084245482
0.77,3.67761376907083e-13,1142.65736980805,-1637.57403454165
0.78,3.67761376907083e-13,1102.21791200194,-1664.55541717086
0.79,3.67761376907083e-13,1061.46969191396,-1690.33956538657
0.8,3.67761376907083e-13,1020.44509088598,-1714.93934589868
0.81,3.67761376907083e-13,979.167021372343,-1738.37260238748
0.820000000000001,3.67761376907083e-13,937.651306270763,-1760.65962634657
0.830000000000001,3.67761376907083e-13,895.908734626708,-1781.82132227905
0.840000000000001,3.67761376907083e-13,853.946781091605,-1801.87794149691
0.850000000000001,3.67761376907083e-13,811.771017184968,-1820.84825962993
0.860000000000001,3.67761376907083e-13,769.386259180939,-1838.74908930783
0.870000000000001,3.67761376907083e-13,726.797499934824,-1855.59504083354
0.880000000000001,3.67761376907083e-13,684.010667610772,-1871.39846416545
0.890000000000001,3.67761376907083e-13,641.033247277712,-1886.16952286767
0.900000000000001,3.67761376907083e-13,597.874793856041,-1899.91636437205
0.910000000000001,3.67761376907083e-13,554.547358023747,-1912.64536117652
0.920000000000001,3.67761376907083e-13,511.06584084398,-1924.36140504258
0.930000000000001,3.67761376907083e-13,467.448288115701,-1935.06824145923
0.940000000000001,3.67761376907083e-13,423.716131647197,-1944.76883515605
0.950000000000001,3.67761376907083e-13,379.894381887415,-1953.46575966052
0.960000000000001,3.67761376907083e-13,336.011774164757,-1961.16160523449
0.970000000000001,3.67761376907083e-13,292.100869256709,-1967.85940018747
0.980000000000001,3.67761376907083e-13,248.198108232093,-1973.56304073557
0.990000000000001,3.67761376907083e-13,204.343820839349,-1978.27772451014
1,3.67761376907083e-13,160.582186750929,-1982.01038251674
1.01,3.67761376907083e-13,116.961149088822,-1984.77010399972
1.02,3.67761376907083e-13,73.5322802213176,-1986.56854829218
1.03,3.67761376907083e-13,30.3506005029777,-1987.42033742889
1.04,3.67761376907083e-13,-12.525648454778,-1987.34342310077
1.05,3.67761376907083e-13,-55.0352733687983,-1986.35942148291
1.06,3.67761376907083e-13,-97.1144380223765,-1984.49390959939
1.07,3.67761376907083e-13,-138.697006328876,-1981.77667721337
1.08,3.67761376907083e-13,-179.714913850018,-1978.2419287526
1.09,3.67761376907083e-13,-220.098560952454,-1973.92843048594
1.1,3.67761376907083e-13,-259.777220069536,-1968.87959902468
1.11,3.67761376907083e-13,-298.679449095633,-1963.14352818532
1.12,3.67761376907083e-13,-336.733502910454,-1956.77295224529
1.13,3.67761376907083e-13,-373.867735513793,-1949.82514455529
1.14,3.67761376907083e-13,-410.010986408544,-1942.36175121518
1.15,3.67761376907083e-13,-445.092946896705,-1934.44855991379
1.16,3.67761376907083e-13,-479.04450511757,-1926.15520386909
1.17,3.67761376907083e-13,-511.798073341061,-1917.5547998155
1.18,3.67761376907083e-13,-543.287907764368,-1908.72351682018
1.19,3.67761376907083e-13,-573.450440613802,-1899.74006890989
1.2,3.67761376907083e-13,-602.224657735733,-1890.68511847158
1.21,3.67761376907083e-13,-629.552573879352,-1881.6405682723
1.22,3.67761376907083e-13,-655.379883081568,-1872.68870720545
1.23,3.67761376907083e-13,-679.656897295908,-1863.91115684322
1.24,3.67761376907083e-13,-702.339931209485,-1855.3875428538
1.25,3.67761376907083e-13,-723.393346607088,-1847.19378727236
1.26,3.67761376907083e-13,-742.792527898984,-1839.39988857388
1.27,3.67761376907083e-13,-760.528102474416,-1832.06703667414
1.28,3.67761376907083e-13,-776.611702888499,-1825.2439213243
1.29,3.67761376907083e-13,-791.08341445826,-1818.96217433165
1.3,3.67761376907083e-13,-804.020645779006,-1813.23109603157
1.31,3.67761376907083e-13,-815.547393135547,-1808.03220644992
1.32,3.67761376907083e-13,-825.841758700366,-1803.31471951826
1.33,3.67761376907083e-13,-835.138492090858,-1798.99357899109
1.34,3.67761376907083e-13,-843.723096382643,-1794.95179997169
1.35,3.67761376907083e-13,-851.915642860448,-1791.04805768467
1.36,3.67761376907083e-13,-860.045972919593,-1787.12871869222
1.37,3.67761376907083e-13,-868.425800451968,-1783.0416269466
1.38,3.67761376907083e-13,-877.32479770259,-1778.64818744668
1.39,3.67761376907083e-13,-886.955858731033,-1773.83120058807
1.4,3.67761376907083e-13,-897.470801807402,-1768.49779333327
1.41,3.67761376907083e-13,-908.964363526622,-1762.57842833788
1.42,3.67761376907083e-13,-921.482923579244,-1756.02364939301
1.43,3.67761376907083e-13,-935.034753312602,-1748.8000571353
1.44,3.67761376907083e-13,-949.599709842021,-1740.88648002142
1.45,3.67761376907083e-13,-965.137397533947,-1732.27079266678
1.46,3.67761376907083e-13,-981.593564212642,-1722.94748857204
1.47,3.67761376907083e-13,-998.90488668877,-1712.91593686336
1.48,3.67761376907083e-13,-1017.00244443937,-1702.17918774719
1.49,3.67761376907083e-13,-1035.81419316772,-1690.74318651305
1.5,3.67761376907083e-13,-1055.26670711758,-1678.6162760648
1.51,3.67761376907083e-13,-1075.28640137191,-1665.80889439052
1.52,3.67761376907083e-13,-1095.80039118152,-1652.33339794313
1.53,3.67761376907083e-13,-1116.73710112378,-1638.20396178284
1.54,3.67761376907083e-13,-1138.02670311958,-1623.43652242646
1.55,3.67761376907083e-13,-1159.6014376518,-1608.04874035142
1.56,3.67761376907083e-13,-1181.39585493475,-1592.05996695967
1.57,3.67761376907083e-13,-1203.34700047556,-1575.49120634674
1.58,3.67761376907083e-13,-1225.39456097914,-1558.36506610156
1.59,3.67761376907083e-13,-1247.48098077275,-1540.70569406983
1.6,3.67761376907083e-13,-1269.55155504431,-1522.53869990579
1.61,3.67761376907083e-13,-1291.55450363547,-1503.89106154977
1.62,3.67761376907083e-13,-1313.4410275263,-1484.7910176457
1.63,3.67761376907083e-13,-1335.16534912265,-1465.26794753917
1.64,3.67761376907083e-13,-1356.68473693352,-1445.35224084894
1.65,3.67761376907083e-13,-1377.95951492959,-1425.07515884971
1.66,3.67761376907083e-13,-1398.95305682848,-1404.46868997503
1.67,3.67761376907083e-13,-1419.63176558251,-1383.56540176653
1.68,3.67761376907083e-13,-1439.96503847757,-1362.39829151117
1.69,3.67761376907083e-13,-1459.92521840361,-1341.00063768329
1.7,3.67761376907083e-13,-1479.48753202333,-1319.40585413794
1.71,3.67761376907083e-13,-1498.63001573054,-1297.6473487964
1.72,3.67761376907083e-13,-1517.33343042427,-1275.75838835084
1.73,3.67761376907083e-13,-1535.58116624814,-1253.77197027645
1.74,3.67761376907083e-13,-1553.35913852412,-1231.72070321166
1.75,3.67761376907083e-13,-1570.65567617144,-1209.63669653037
1.76,3.67761376907083e-13,-1587.46140392292,-1187.55145971203
1.77,3.67761376907083e-13,-1603.76911965132,-1165.49581190323
1.78,3.67761376907083e-13,-1619.57366808907,-1143.49980187295
1.79,3.67761376907083e-13,-1634.87181217569,-1121.59263838938
1.8,3.67761376907083e-13,-1649.66210319946,-1099.80263089123
1.81,3.67761376907083e-13,-1663.94475081715,-1078.15714019467
1.82,3.67761376907083e-13,-1677.72149394364,-1056.68253886365
1.83,3.67761376907083e-13,-1690.99547340249,-1035.40418078048
1.84,3.67761376907083e-13,-1703.77110712515,-1014.34637938078
1.85,3.67761376907083e-13,-1716.05396858105,-993.53239396289
