"Body 2 CM Motion"
"Time (sec)","Center of Mass Position6 (mm)","Center of Mass Position8 (mm)","Center of Mass Position9 (mm)"
0.950000000000001,7.94503351997378e-13,1733.37641308795,-4085.65771422464
0.960000000000001,7.94503351997378e-13,1644.68999844428,-4106.42468356367
0.970000000000001,7.94503351997378e-13,1555.52728439037,-4127.34807012143
0.980000000000001,7.94503351997378e-13,1465.91158151528,-4148.42709524903
0.990000000000001,7.94503351997378e-13,1375.86012052471,-4169.65912344255
1,7.94503351997378e-13,1285.38421725818,-4191.03963789229
1.01,7.94503351997378e-13,1194.48943466269,-4212.5621112815
1.02,7.94503351997378e-13,1103.17575529433,-4234.21777404736
1.03,7.94503351997378e-13,1011.43777719173,-4255.99528266844
1.04,7.94503351997378e-13,919.264945139231,-4277.88029117689
1.05,7.94503351997378e-13,826.641828306315,-4299.85492968109
1.06,7.94503351997378e-13,733.54845403702,-4321.89719412004
1.07,7.94503351997378e-13,639.960706273262,-4343.9802516247
1.08,7.94503351997378e-13,545.850795735172,-4366.07166548586
1.09,7.94503351997378e-13,451.187807755585,-4388.13254276393
1.1,7.94503351997378e-13,355.938332666038,-4410.11660578125
1.11,7.94503351997378e-13,260.067183119826,-4431.96918606993
1.12,7.94503351997378e-13,163.538202924527,-4453.62613565394
1.13,7.94503351997378e-13,66.3151731618359,-4475.01264581074
1.14,7.94503351997378e-13,-31.6371760656923,-4496.0419576674
1.15,7.94503351997378e-13,-130.352035590561,-4516.61394223824
1.16,7.94503351997378e-13,-229.859249585083,-4536.61352003174
1.17,7.94503351997378e-13,-330.183881768909,-4555.90888259343
1.18,7.94503351997378e-13,-431.344573928514,-4574.34947116393
1.19,7.94503351997378e-13,-533.351638288214,-4591.76366253353
1.2,7.94503351997378e-13,-636.204803752722,-4607.95611208691
1.21,7.94503351997378e-13,-739.890508355547,-4622.70471175334
1.22,7.94503351997378e-13,-844.378601921886,-4635.75715021469
1.23,7.94503351997378e-13,-949.61828760471,-4646.82711448999
1.24,7.94503351997378e-13,-1055.53310799476,-4655.59028188025
1.25,7.94503351997378e-13,-1162.01477765805,-4661.68043596629
1.26,7.94503351997378e-13,-1268.91571559635,-4664.68634655971
1.27,7.94503351997378e-13,-1376.04029190071,-4664.15052239437
1.28,7.94503351997378e-13,-1483.13515629819,-4659.57159780821
1.29,7.94503351997378e-13,-1589.87966615725,-4650.412890134
1.3,7.94503351997378e-13,-1695.87845074795,-4636.1203101393
1.31,7.94503351997378e-13,-1800.65943056583,-4616.15273680438
1.32,7.94503351997378e-13,-1903.68167416605,-4590.02625791379
1.33,7.94503351997378e-13,-2004.35727647582,-4557.36947147632
1.34,7.94503351997378e-13,-2102.08872186841,-4517.98067823147
1.35,7.94503351997378e-13,-2196.31767006125,-4471.87205305821
1.36,7.94503351997378e-13,-2286.57489187735,-4419.28545222771
1.37,7.94503351997378e-13,-2372.51833280994,-4360.67226688699
1.38,7.94503351997378e-13,-2453.94983044057,-4296.64260151584
1.39,7.94503351997378e-13,-2530.80910754502,-4227.89926973867
1.4,7.94503351997378e-13,-2603.15117503449,-4155.17394846519
1.41,7.94503351997378e-13,-2671.11634434039,-4079.17724423293
1.42,7.94503351997378e-13,-2734.90068846351,-4000.56658400334
