"Plot13"
"Time (sec)","Angular Velocity2 (deg/sec)"
1.41,-442.637581670961
1.42,-429.642293039018
1.43,-416.703363237442
1.44,-404.021843963236
1.45,-391.718341377899
1.46,-379.855435185019
1.47,-368.456066349537
1.48,-357.517447569359
1.49,-347.021045005145
1.5,-336.939470704002
1.51,-327.241098080211
1.52,-317.8930586601
1.53,-308.863125721887
1.54,-300.120843836226
1.55,-291.638157576311
1.56,-283.389712626518
1.57,-275.352946400241
1.58,-267.508046288379
1.59,-259.837828803332
1.6,-252.327569840543
1.61,-244.964813839517
1.62,-237.739171315274
1.63,-230.642116173529
1.64,-223.666787613823
1.65,-216.80780037042
1.66,-210.061065035674
1.67,-203.423619612776
1.68,-196.893472743988
1.69,-190.469458684556
1.7,-184.151103947361
1.71,-177.938505286838
1.72,-171.832218712931
1.73,-165.833159068084
1.74,-159.942509733054
1.75,-154.1616419495
1.76,-148.49204325271
1.77,-142.93525448068
1.78,-137.492814815191
1.79,-132.166214309216
1.8,-126.956853346109
1.81,-121.86600848539
1.82,-116.894804151525
1.83,-112.044189638649
1.84,-107.314920916279
1.85,-102.707546743756
1.86,-98.2223986207681
1.87,-93.8595841282995
1.88,-89.6189832412272
1.89,-85.5002472209299
1.9,-81.502799726106
1.91,-77.6258398084984
1.92,-73.8683464898983
1.93,-70.2290846439052
1.94,-66.7066117210964
1.95,-63.299286151382
1.96,-60.0052753876572
1.97,-56.8225642494369
1.98,-53.7489647203784
1.99,-50.7821251948148
2,-47.9195398369716
2.01,-45.1585579340948
2.02,-42.4963931456863
2.03,-39.9301325696157
2.04,-37.4567455531504
2.05,-35.0730922061177
2.06,-32.7759315911233
2.07,-30.5619295735676
2.08,-28.4276662996633
2.09,-26.369643292613
2.1,-24.384290163161
2.11,-22.4679709430007
2.12,-20.6169900427545
2.13,-18.827597840585
2.14,-17.0959959131671
2.15,-15.4183419286356
2.16,-13.7907542186166
2.17,-12.2093160467538
2.18,-10.6700795930676
2.19,-9.16906967715262
2.2,-7.70228724307453
2.21,-6.26571262962422
2.22,-4.85530864665097
2.23,-3.46702348188341
2.24,-2.0967934625964
2.25,-0.740545695166519
2.26,0.605799394025079
2.27,1.94632559354186
2.28,3.28511849471498
2.29,4.62626310765551
2.29999999999999,5.97384148480826
2.30999999999999,7.33193032722206
2.31999999999999,8.70459855298478
2.32999999999999,10.0959048033412
2.33999999999999,11.5098948653227
2.34999999999999,12.9505989873539
2.35999999999999,14.4220290670861
2.36999999999999,15.9281756876512
2.37999999999999,17.4730049818764
2.38999999999999,19.0604553015588
2.39999999999999,20.6944336718318
2.40999999999999,22.3788120092958
2.41999999999999,24.1174230843419
2.42999999999999,25.9140562093818
2.43999999999999,27.7724526348462
2.44999999999999,29.696300638217
2.45999999999999,31.6892302919868
2.46999999999999,33.7548078998077
2.47999999999999,35.8965300926875
2.48999999999999,38.1178175814865
