"Plot11"
"Time (sec)","Linear Acceleration3 (mm/sec**2)","Acceleration3 (mm/sec**2)","Linear Acceleration4 (mm/sec**2)"
1.9,1.84167484276365e-12,2478.09634832924,-10.3854004655387
1.91,1.84366046196234e-12,2392.19692796156,-10.3982827722128
1.92,1.84557983687852e-12,2308.98930854595,-10.4153134839763
1.93,1.84743045167805e-12,2228.22827524636,-10.4360000231866
1.94,1.84921057018768e-12,2149.72074664695,-10.4598633541098
1.95,1.85091915894584e-12,2073.31831304451,-10.4864458728936
1.96,1.85255574406014e-12,1998.9137585585,-10.5153060428055
1.97,1.85412038288126e-12,1926.43269404583,-10.5460307459692
1.98,1.85561355999428e-12,1855.82956983132,-10.5782324653375
1.99,1.8570360935339e-12,1787.08431189313,-10.6115463891996
2,1.85838912123641e-12,1720.19519591774,-10.6456400935119
2.01,1.85967399488041e-12,1655.17774668484,-10.6802048964776
2.02,1.86089225427548e-12,1592.05988347986,-10.7149602753577
2.03,1.86204557366287e-12,1530.87940892837,-10.7496517425896
2.04,1.86313572232111e-12,1471.68138769209,-10.7840500816519
2.05,1.86416452965431e-12,1414.51592594818,-10.8179502334906
2.06,1.86513385483095e-12,1359.43630112834,-10.8511700208438
2.07,1.86604556100156e-12,1306.49737842283,-10.8835487512499
2.08,1.86690149313119e-12,1255.75432956518,-10.9149457532723
2.09,1.86770345986264e-12,1207.26155982833,-10.9452388826329
2.1,1.86845321804794e-12,1161.07189191232,-10.9743229963917
2.11,1.86915246056836e-12,1117.23590196821,-11.0021084576054
2.12,1.86980280625645e-12,1075.80144859503,-11.0285196501314
2.13,1.87040579223738e-12,1036.81332020712,-11.053493553243
2.14,1.87096286794626e-12,1000.31301400721,-11.0769783590329
2.15,1.8714753908606e-12,966.338601152891,-11.0989321656977
2.16,1.87194462345013e-12,934.92467963653,-11.1193217407957
2.17,1.87237173132368e-12,906.102381411074,-11.1381213607977
2.18,1.87275778219741e-12,879.899433020725,-11.1553117461173
2.19,1.87310374561423e-12,856.340247286886,-11.1708790668412
2.2,1.87341049316946e-12,835.446041420167,-11.1848140546611
2.21,1.87367879918016e-12,817.234964924812,-11.1971111938513
2.22,1.87390934153751e-12,801.722240087734,-11.2077680076252
2.23,1.87410270281484e-12,788.920292822148,-11.2167844408137
2.24,1.87425937134279e-12,778.838884437946,-11.224162323967
2.25,1.87437974231471e-12,771.485227756723,-11.2299049420192
2.26,1.87446411880527e-12,766.864088624184,-11.2340166818505
2.27,1.87451271262671e-12,764.977872177632,-11.236502781703
2.28,1.87452564503869e-12,765.826687978607,-11.2373691610227
2.29,1.87450294727958e-12,769.40839372531,-11.2366223506095
2.29999999999999,1.87444456082191e-12,775.718624975673,-11.2342695008957
2.30999999999999,1.87435033756574e-12,784.750793774224,-11.230318493582
2.31999999999999,1.8742200396704e-12,796.496084263375,-11.2247781255617
2.32999999999999,1.87405333943127e-12,810.943415799127,-11.2176584005984
2.33999999999999,1.87384981886415e-12,828.079408567474,-11.2089708905502
2.34999999999999,1.87360896940165e-12,847.888326457828,-11.1987292008882
2.35999999999999,1.87333019146581e-12,870.3520276174,-11.1869495135683
2.36999999999999,1.87301279428771e-12,895.449904737616,-11.1736512189984
2.37999999999999,1.87265599579261e-12,923.158845339208,-11.1588576405658
2.38999999999999,1.87225892295547e-12,953.453196143077,-11.1425968296761
2.39999999999999,1.87182061247773e-12,986.30476418865,-11.1249024591784
2.40999999999999,1.87134001219721e-12,1021.68284362752,-11.1058147845757
2.41999999999999,1.87081598318498e-12,1059.55429779071,-11.0853816822905
2.42999999999999,1.87024730286504e-12,1099.88369814475,-11.0636597686752
2.43999999999999,1.86963266930537e-12,1142.63353932039,-11.0407155652422
2.44999999999999,1.86897070687659e-12,1187.76455014455,-11.0166267399995
2.45999999999999,1.86825997362551e-12,1235.23610992021,-10.9914833781519
2.46999999999999,1.8674989705064e-12,1285.00680059057,-10.9653892985024
2.47999999999999,1.86668615287232e-12,1337.0351062331,-10.9384633805939
2.48999999999999,1.86581994444057e-12,1391.2802904557,-10.9108408974688
2.49999999999999,1.86489875413473e-12,1447.70346909103,-10.8826748251017
2.50999999999999,1.86392099607886e-12,1506.26890810991,-10.8541371043745
2.51999999999999,1.86288511311109e-12,1566.94557116897,-10.8254198294204
2.52999999999999,1.8617896042647e-12,1629.70893542926,-10.7967363233787
2.53999999999999,1.86063305635155e-12,1694.54311819825,-10.7683220612124
2.54999999999999,1.85941418035234e-12,1761.44331300221,-10.7404354039233
2.55999999999999,1.8581318525989e-12,1830.4185837824,-10.7133580781438
2.56999999999999,1.8567851613429e-12,1901.49501751569,-10.6873953577897
2.57999999999999,1.85537345894125e-12,1974.71925623317,-10.6628758834716
2.58999999999999,1.85389641977059e-12,2050.16242730586,-10.6401510359857
2.59999999999999,1.852354104396e-12,2127.92445641991,-10.619593823216
2.60999999999999,1.85074702967971e-12,2208.13878549263,-10.6015971548346
2.61999999999999,1.84907624538186e-12,2290.97745309611,-10.5865714761851
2.62999999999999,1.84734341663974e-12,2376.65654485065,-10.5749416197086
2.63999999999999,1.84555091265978e-12,2465.44194841952,-10.5671428356452
2.64999999999999,1.84370190080636e-12,2557.65539221112,-10.5636158758848
2.65999999999999,1.84180044596043e-12,2653.68068192068,-10.5648010656475
2.66999999999999,1.83985161413043e-12,2753.97008133334,-10.5711312793397
2.67999999999999,1.83786157973218e-12,2859.05072002691,-10.5830237284729
2.68999999999999,1.83583773506277e-12,2969.530956169,-10.6008705270703
2.69999999999999,1.83378880106571e-12,3086.10653727529,-10.6250279443057
2.70999999999999,1.83172493737965e-12,3209.56647153352,-10.6558043416026
2.71999999999999,1.82965785038931e-12,3340.79843576862,-10.6934467547015
2.72999999999999,1.82760089684299e-12,3480.79361325679,-10.7381261208446
2.73999999999999,1.82556918153951e-12,3630.65079510135,-10.7899212044641
2.74999999999999,1.82357964619015e-12,3791.5796451202,-10.8488012143589
2.75999999999999,1.82165114808932e-12,3964.90298772522,-10.9146072520656
2.76999999999998,1.81980452562525e-12,4152.05806028545,-10.9870326056988
2.77999999999998,1.8180626493971e-12,4354.59665991302,-11.065602055596
2.78999999999998,1.81645086156026e-12,4574.19334118597,-11.1497149189514
2.79999999999998,1.8149957257993e-12,4812.61670343793,-11.2384167171829
2.80999999999998,1.81372569759543e-12,5071.73414447491,-11.3304967904301
2.81999999999998,1.81267266242154e-12,5353.55290157858,-11.4246962025626
2.82999999999998,1.81187007826678e-12,5660.17341818115,-11.5193939294827
2.83999999999998,1.81135292155645e-12,5993.77966099244,-11.6125912989106
2.84999999999998,1.8111582398001e-12,6356.65280209656,-11.7019766592033
2.85999999999998,1.81132500539916e-12,6751.16731799554,-11.7848829541243
2.86999999999998,1.81189400441217e-12,7179.78910438614,-11.8582491259143
2.87999999999998,1.8129077946927e-12,7645.07801116801,-11.9185862009965
2.88999999999998,1.81441069485246e-12,8149.69430330035,-11.961939109655
2.89999999999998,1.81644881715632e-12,8696.41005756318,-11.9838420426275
2.90999999999998,1.81907016266239e-12,9288.12664837612,-11.979264901661
2.91999999999998,1.822324800111e-12,9927.89950116334,-11.9425477027239
2.92999999999998,1.82626515292348e-12,10618.9712480868,-11.8673189048933
2.93999999999998,1.83094642162472e-12,11364.8142671105,-11.7463925773591
2.94999999999998,1.83642717151421e-12,12169.1832815785,-11.5716380431445
2.95999999999998,1.84277011698008e-12,13036.1781453086,-11.3338141119465
2.96999999999998,1.85004313364343e-12,13970.3159603031,-11.0223582080797
2.97999999999998,1.85832052614259e-12,14976.6100992906,-10.6251186814354
2.98999999999998,1.86768456982312e-12,16060.6511209831,-10.1280164070089
2.99999999999998,1.87822732471151e-12,17228.6804197739,-9.51461973880345
3.00999999999998,1.89005268223045e-12,18487.6408545181,-8.7656155637211
3.01999999999998,1.90327853655196e-12,19845.1782100284,-7.85815977717601
3.02999999999998,1.91803885302152e-12,21309.5510943841,-6.76509521630816
3.03999999999998,1.93448520275914e-12,22889.3818443085,-5.45403802974732
3.04999999999998,1.95278699557517e-12,24593.1431824559,-3.88636193371808
3.05999999999998,1.97312872390677e-12,26428.4481195484,-2.01611421138786
3.06999999999998,1.99570441613855e-12,28399.5201498949,0.210638950930226
3.07999999999998,2.02069983999309e-12,30505.7927239031,2.85635539313106
3.08999999999998,2.04826477505733e-12,32737.7265756069,5.99116365217422
3.09999999999998,2.07846439161491e-12,35069.7340448815,9.68926298464426
3.10999999999998,2.11119901414602e-12,37452.5290129981,14.0217580841211
3.11999999999998,2.14608682464676e-12,39801.9357252246,19.0426523142854
3.12999999999998,2.18230609180273e-12,41986.6112367207,24.7657187678528
3.13999999999998,2.21841467635198e-12,43818.0444694297,31.1308235449031
3.14999999999998,2.25220233991185e-12,45050.0285408597,37.962760900724
3.15999999999998,2.28068390298892e-12,45398.1959971745,44.9346214703817
3.16999999999998,2.30037601738947e-12,44589.2264344187,51.5593165001292
3.17999999999998,2.30794938824283e-12,42438.2036667713,57.2379901846797
3.18999999999998,2.30115530421296e-12,38930.601010396,61.3778698866397
3.19999999999998,2.27965874965975e-12,34266.1893885893,63.5500774425007
3.20999999999998,2.24530919154459e-12,28829.6241318392,63.6161927334077
3.21999999999998,2.2016403520537e-12,23092.8986034148,61.7555595818492
3.22999999999998,2.15285665049528e-12,17497.4904085544,58.3831805992855
3.23999999999997,2.10282641444522e-12,12370.2647111767,54.0115209802167
3.24999999999997,2.05447028270823e-12,7896.44362091,49.1256244732279
3.25999999999997,2.0096130880043e-12,4138.17397296426,44.1105571804771
3.26999999999997,1.96914507606525e-12,1073.13808560574,39.2315998878424
3.27999999999997,1.93329879927509e-12,-1367.28531313992,34.6476950916501
3.28999999999997,1.90191267499845e-12,-3269.72849640626,30.4378769955612
3.29999999999997,1.87462856437603e-12,-4721.58526140176,26.627846241285
3.30999999999997,1.85101887655818e-12,-5802.32619842159,23.2112060811927
3.31999999999997,1.8306584578276e-12,-6580.2788065676,20.1643581450271
3.32999999999997,1.81315883846261e-12,-7112.42664529811,17.4561549749609
3.33999999999997,1.79818176553151e-12,-7445.56407984805,15.053380192118
3.34999999999997,1.78543850679789e-12,-7617.98388900445,12.9240268979154
3.35999999999997,1.77468510243123e-12,-7661.12556275168,11.0386499632881
3.36999999999997,1.76571463362868e-12,-7601.04690232697,9.37091255227168
3.37999999999997,1.75834943247961e-12,-7459.62747606256,7.89757849425696
3.38999999999997,1.75243397245427e-12,-7255.51250520485,6.59824777018627
3.39999999999997,1.74782885637312e-12,-7004.82804748487,5.45498662591665
3.40999999999997,1.74440600724648e-12,-6721.70924660101,4.4519411760599
3.41999999999997,1.74204496063919e-12,-6418.67181204936,3.57497828881075
3.42999999999997,1.74063029576082e-12,-6106.88723095224,2.81138446503724
3.43999999999997,1.74004986121588e-12,-5796.35843638978,2.14961961349929
3.44999999999997,1.74019377026777e-12,-5496.04215840714,1.579134179647
3.45999999999997,1.74095402511062e-12,-5213.93701275294,1.0902423790929
3.46999999999997,1.74222457910534e-12,-4957.14577505358,0.674043502626411
3.47999999999997,1.74390174383059e-12,-4731.92852215683,0.322383635977323
3.48999999999997,1.74588482186034e-12,-4543.75478339449,0.0278489855574338
3.49999999999997,1.7480768680684e-12,-4397.36112348375,-0.216217540339197
3.50999999999997,1.75038549682573e-12,-4296.81830986772,-0.415684046502087
3.51999999999997,1.75272366828345e-12,-4245.61035818081,-0.575588124567432
3.52999999999997,1.75501040331007e-12,-4246.72629188064,-0.700091240034796
3.53999999999997,1.7571713931674e-12,-4302.76434251774,-0.792432744585462
3.54999999999997,1.75913948612626e-12,-4416.04759072907,-0.85488569395864
3.55999999999997,1.76085504918552e-12,-4588.74960928519,-0.888715147908813
3.56999999999997,1.76226621850938e-12,-4823.0284540611,-0.894138199426557
3.57999999999997,1.76332906776917e-12,-5121.16732848577,-0.870283700249185
3.58999999999997,1.76400773925754e-12,-5485.72028681263,-0.81514856006201
3.59999999999997,1.76427459925531e-12,-5919.66130570923,-0.725546665276089
3.60999999999997,1.76411049816545e-12,-6426.5347714843,-0.597045998864772
3.61999999999997,1.76350523842349e-12,-7010.6046665693,-0.423889550068505
3.62999999999997,1.7624583805843e-12,-7676.99812253752,-0.198896288402734
3.63999999999997,1.76098055272751e-12,-8431.83607129069,0.0866597574014095
3.64999999999997,1.75909547126156e-12,-9282.33873401995,0.443190853273684
3.65999999999997,1.75684293260187e-12,-10236.8856362474,0.882949820431337
3.66999999999997,1.75428309260806e-12,-11304.997308672,1.4201793906786
3.67999999999997,1.75150240367606e-12,-12497.1870048262,2.07122206945194
3.68999999999997,1.74862160598074e-12,-13824.6034649927,2.85452931773667
3.69999999999997,1.74580612299542e-12,-15298.3480947251,3.79046821962146
3.70999999999996,1.74327777458245e-12,-16928.5357523684,4.90093137498052
3.71999999999996,1.74133496566281e-12,-18721.4644317031,6.20750174707561
3.72999999999996,1.74036177389578e-12,-20677.9825758694,7.7302102610043
3.73999999999996,1.74084262737763e-12,-22789.2982500641,9.484008351957
3.74999999999996,1.74337190717092e-12,-25030.4456919833,11.4726912344656
3.75999999999996,1.74863552344777e-12,-27354.5458123523,13.6821411169204
3.76999999999996,1.75736503807719e-12,-29685.7433727415,16.0709352180617
3.77999999999996,1.77024294997421e-12,-31914.2300416588,18.5606672460002
3.78999999999996,1.78775248923806e-12,-33896.5713726893,21.0289516552181
3.79999999999996,1.80998517715189e-12,-35465.5032066917,23.3100263712616
3.80999999999996,1.83645424865085e-12,-36452.0779339859,25.2082817139509
3.81999999999996,1.86599609125762e-12,-36718.5432411225,26.5271230346555
3.82999999999996,1.89684423093987e-12,-36193.470078968,27.108644892895
3.83999999999996,1.92690459035211e-12,-34895.5228583884,26.871557148806
3.84999999999996,1.95416133462214e-12,-32934.1537941775,25.8318052688754
3.85999999999996,1.97706456275212e-12,-30485.4076454661,24.0966467251985
3.86999999999996,1.99475813726533e-12,-27752.8440664336,21.8354810983681
3.87999999999996,2.00709414839884e-12,-24929.006057791,19.2407138166224
3.88999999999996,2.01448114677478e-12,-22169.2086045731,16.4931637955716
3.89999999999996,2.0176623919937e-12,-19581.1665812764,13.7404300571634
3.90999999999996,2.01750872363801e-12,-17227.229397548,11.0890617998108
3.91999999999996,2.01486983451365e-12,-15133.4484039422,8.60671009347138
