"Plot6"
"Time (sec)","Linear Velocity1 (mm/sec)","Linear Velocity3 (mm/sec)","Linear Velocity4 (mm/sec)"
4.10999999999996,3.8242444155302e-12,720.885935594217,2501.84563194724
4.11999999999996,3.83365746871079e-12,671.17680135157,2447.10450837147
4.12999999999996,3.84307444555013e-12,624.005257051634,2392.16003330225
4.13999999999996,3.85249518538805e-12,579.264260028271,2337.00214484513
4.14999999999996,3.86191952182909e-12,536.854703812774,2281.6228536455
4.15999999999996,3.87134728327878e-12,496.684469873346,2226.0163175195
4.16999999999996,3.8807782936382e-12,458.667562485303,2170.17884147375
4.17999999999996,3.89021237310552e-12,422.723324682715,2114.10882167719
4.18999999999996,3.89964933904549e-12,388.775731553617,2057.80664803877
4.19999999999995,3.90908900689849e-12,356.752756436797,2001.27457644363
4.20999999999995,3.91853119110677e-12,326.585805073385,1944.51657956934
4.21999999999995,3.92797570604171e-12,298.209212689437,1887.53818312338
4.22999999999995,3.93742236691911e-12,271.559798998102,1830.34629306992
4.23999999999995,3.94687099069302e-12,246.576476266286,1772.94901823105
4.24999999999995,3.95632139692062e-12,223.199905804816,1715.35549181968
4.25999999999995,3.96577340859253e-12,201.372198471658,1657.57569478167
4.26999999999995,3.97522685292425e-12,181.036655047066,1599.62028325534
4.27999999999995,3.98468156210582e-12,162.137542587221,1541.50042203588
4.28999999999995,3.99413737401191e-12,144.619901338334,1483.22762445657
4.29999999999995,4.00359413284863e-12,128.429387659372,1424.81360527679
4.30999999999995,4.01305168977608e-12,113.512134371183,1366.27013799686
4.31999999999995,4.02250990348747e-12,99.8146328795603,1307.60892170043
4.32999999999995,4.03196864071777e-12,87.2836449012494,1248.84146481632
4.33999999999995,4.04142777672417e-12,75.8661255309519,1189.97897593765
4.34999999999995,4.05088719572144e-12,65.5091624063019,1131.03226620563
4.35999999999995,4.06034679127413e-12,56.1599284815416,1072.01166323778
4.36999999999995,4.06980646664835e-12,47.7656460530751,1012.92693635127
4.37999999999995,4.07926613512525e-12,40.2735603092279,953.787232753965
4.38999999999995,4.08872572027882e-12,33.6309208037463,894.60102433358
4.39999999999995,4.09818515622004e-12,27.7849694138638,835.376064722002
4.40999999999995,4.10764438780987e-12,22.6829334433741,776.119356275762
4.41999999999995,4.11710337084357e-12,18.2720227095357,716.837126438415
4.42999999999995,4.12656207220926e-12,14.4994295857556,657.534812869697
4.43999999999995,4.13602047002331e-12,11.3123310822224,598.21705674792
4.44999999999995,4.14547855374524e-12,8.65789216160578,538.887703670927
4.45999999999995,4.15493632427467e-12,6.48326956706362,479.54981152459
4.46999999999995,4.1643937940332e-12,4.7356155822051,420.205664620059
4.47999999999995,4.17385098703377e-12,3.36208118029366,360.856793395122
4.48999999999995,4.18330793894024e-12,2.30981814277493,301.503999018027
4.49999999999995,4.19276469711961e-12,1.52597974434433,242.147382216215
4.50999999999995,4.20222132068942e-12,0.957719698294742,182.786375640481
4.51999999999995,4.21167788056303e-12,0.552189095159671,123.419779048544
4.52999999999995,4.22113445949508e-12,0.256531095579551,64.0457966318469
4.53999999999995,4.23059115212961e-12,0.0178731829862215,4.662075819542
4.54999999999995,4.24004806505338e-12,-0.216683206207866,-54.7342531047589
4.55999999999995,4.24950531685668e-12,-0.500075842806622,-114.146537236929
4.56999999999995,4.2589630382042e-12,-0.885297821984395,-173.578561796724
4.57999999999995,4.26842137191846e-12,-1.42541680587649,-233.034512006641
4.58999999999995,4.27788047307826e-12,-2.17359759380384,-292.518936727676
4.59999999999995,4.28734050913484e-12,-3.18312821941902,-352.036714460773
4.60999999999995,4.29680166004848e-12,-4.50744984535291,-411.593022316922
4.61999999999995,4.3062641184483e-12,-6.20019073687446,-471.193308535469
4.62999999999995,4.31572808981844e-12,-8.31520467924024,-530.843269106757
4.63999999999995,4.32519379271358e-12,-10.9066142519399,-590.548829044418
4.64999999999995,4.33466145900739e-12,-14.0288594536541,-650.316128826744
4.65999999999995,4.34413133417738e-12,-17.7367522551656,-710.151516502204
4.66999999999994,4.35360367763021e-12,-22.0855377675065,-770.061545920794
4.67999999999994,4.36307876307148e-12,-27.1309627865919,-830.052981508657
4.68999999999994,4.37255687892478e-12,-32.9293526423287,-890.132809964485
4.69999999999994,4.38203832880457e-12,-39.5376973560811,-950.308259196271
4.70999999999994,4.39152343204846e-12,-47.0137483017478,-1010.58682474225
4.71999999999994,4.40101252431437e-12,-55.4161266752334,-1070.97630383419
4.72999999999994,4.41050595824866e-12,-64.8044452710218,-1131.48483714496
4.73999999999994,4.42000410423177e-12,-75.2394452207235,-1192.12095812694
4.74999999999994,4.42950735120815e-12,-86.7831495357004,-1252.89364966968
4.75999999999994,4.43901610760761e-12,-99.4990354900835,-1313.81240758191
4.76999999999994,4.44853080236563e-12,-113.452228061987,-1374.88731011777
4.77999999999994,4.45805188605006e-12,-128.709716862025,-1436.12909241388
4.78999999999994,4.46757983210167e-12,-145.340599128007,-1497.5492242371
4.79999999999994,4.47711513819569e-12,-163.416351573295,-1559.15998886422
4.80999999999994,4.48665832773046e-12,-183.01113394901,-1620.97456015337
4.81999999999994,4.49620995144831e-12,-204.202127281826,-1683.00707390171
4.82999999999994,4.50577058919096e-12,-227.06990970518,-1745.27268833324
4.83999999999994,4.5153408517892e-12,-251.698872606881,-1807.78762693403
4.84999999999994,4.52492138308062e-12,-278.177679458855,-1870.56919476882
4.85999999999994,4.53451286204174e-12,-306.599766830455,-1933.63575734148
4.86999999999994,4.54411600506241e-12,-337.063910794389,-1997.00667222712
4.87999999999994,4.55373156806733e-12,-369.674769226255,-2060.70211262741
4.88999999999994,4.56336034899027e-12,-404.543568592397,-2124.74285748203
4.89999999999994,4.57300318987751e-12,-441.788741070433,-2189.14989495582
4.90999999999994,4.58266097887306e-12,-481.536604418284,-2253.94386670347
4.91999999999994,4.5923346518339e-12,-523.922040569803,-2319.14428181886
4.92999999999994,4.602025193316e-12,-569.089132661509,-2384.76842245427
4.93999999999994,4.61173363660496e-12,-617.191714694069,-2450.82984730348
4.94999999999994,4.62146106233864e-12,-668.393759016903,-2517.33637143081
4.95999999999994,4.63120859509742e-12,-722.869497867639,-2584.28736386272
4.96999999999994,4.64097739713761e-12,-780.803131021026,-2651.67016604436
4.97999999999994,4.65076865816306e-12,-842.387914313056,-2719.45538148156
4.98999999999994,4.66058357970321e-12,-907.824348531535,-2787.59073422396
4.99999999999994,4.67042335225787e-12,-977.317090488638,-2855.99313481238
5.00999999999994,4.68028912292226e-12,-1051.07008960168,-2924.53854584397
5.01999999999994,4.6901819507502e-12,-1129.27931412575,-2993.04921923814
5.02999999999994,4.70010274676235e-12,-1212.12228746376,-3061.27792203751
5.03999999999994,4.71005219544831e-12,-1299.74353477283,-3128.88893210811
5.04999999999994,4.72003065517572e-12,-1392.23500481921,-3195.43595523392
5.05999999999994,4.73003803660965e-12,-1489.61068357732,-3260.33780680758
5.06999999999994,4.7400736616279e-12,-1591.77508022838,-3322.85382583848
5.07999999999994,4.75013611199016e-12,-1698.48653809507,-3382.06281235546
5.08999999999994,4.76022308398015e-12,-1809.31745115105,-3436.85114013127
5.09999999999994,4.77033128029793e-12,-1923.61728016559,-3485.91860100971
5.10999999999994,4.78045637871843e-12,-2040.4862384953,-3527.81164620921
5.11999999999994,4.79059312567425e-12,-2158.77117882939,-3560.99333140856
5.12999999999994,4.80073559521027e-12,-2277.09559912575,-3583.95437747431
5.13999999999993,4.81087762613963e-12,-2393.93221584646,-3595.35972196035
5.14999999999993,4.82101340072098e-12,-2507.71740841322,-3594.21092995587
5.15999999999993,4.83113806991001e-12,-2616.9934653934,-3579.99182871983
5.16999999999993,4.84124828971452e-12,-2720.55189039625,-3552.76015836413
5.17999999999993,4.85134253780855e-12,-2817.54587748536,-3513.15747183131
5.18999999999993,4.861421136994e-12,-2907.54674938208,-3462.33158050103
5.19999999999993,4.8714859994468e-12,-2990.53564100437,-3401.79122953659
5.20999999999993,4.88154018189215e-12,-3066.8402922528,-3333.22964230605
5.21999999999993,4.89158737493652e-12,-3137.03919242365,-3258.35560465396
5.22999999999993,4.90163143529122e-12,-3201.85776336431,-3178.75999100296
5.23999999999993,4.91167602675203e-12,-3262.07567971279,-3095.82966419769
5.24999999999993,4.92172438966677e-12,-3318.45554818523,-3010.70687074586
5.25999999999993,4.93177922564494e-12,-3371.69518386984,-2924.28422435395
5.26999999999993,4.94184266860072e-12,-3422.40061830523,-2837.22301537565
5.27999999999993,4.95191631104843e-12,-3471.07479734837,-2749.98391279733
5.28999999999993,4.96200125975009e-12,-3518.11678007678,-2662.8620035022
5.29999999999993,4.97209820234216e-12,-3563.82712906755,-2576.02108824501
5.30999999999993,4.98220747356772e-12,-3608.41636170331,-2489.52453817442
5.31999999999993,4.99232911507812e-12,-3652.01441878354,-2403.36164891242
5.32999999999993,5.00246292634117e-12,-3694.67995126272,-2317.46941041527
5.33999999999993,5.01260850632925e-12,-3736.40881517756,-2231.75011975098
5.34999999999993,5.02276528678895e-12,-3777.14154229491,-2146.08546976814
5.35999999999993,5.03293255838858e-12,-3816.76977786462,-2060.34778136914
5.36999999999993,5.04310949109595e-12,-3855.14179129843,-1974.4089658151
5.37999999999993,5.0532951502474e-12,-3892.06723616897,-1888.14778373916
5.38999999999993,5.06348850926963e-12,-3927.32132092268,-1801.45573544901
5.39999999999993,5.07368846017625e-12,-3960.64857855139,-1714.24195699954
5.40999999999993,5.08389382254421e-12,-3991.76638414313,-1626.4373269911
5.41999999999993,5.09410335158322e-12,-4020.36835369492,-1537.99794966345
5.42999999999993,5.10431574574641e-12,-4046.12773182805,-1448.90811834314
5.43999999999993,5.11452965420215e-12,-4068.7008510936,-1359.18281891155
5.44999999999993,5.12474368437352e-12,-4087.73072039123,-1268.86979835244
5.45999999999993,5.1349564096594e-12,-4102.85077724552,-1178.05119780402
5.46999999999993,5.14516637736901e-12,-4113.68881538818,-1086.84473145101
5.47999999999993,5.155372116835e-12,-4119.87107870199,-995.404380960038
5.48999999999993,5.16557214761331e-12,-4121.02649247743,-903.920569439267
5.49999999999993,5.17576498763249e-12,-4116.79098579107,-812.619778094452
5.50999999999993,5.18594916112136e-12,-4106.81184351611,-721.763572545656
5.51999999999993,5.19612320612069e-12,-4090.75201473305,-631.647013297247
5.52999999999993,5.20628568137468e-12,-4068.29429639633,-542.596435540275
5.53999999999993,5.21643517240128e-12,-4039.14530819269,-454.96659644156
5.54999999999993,5.22657029655836e-12,-4003.03917783468,-369.137202343951
5.55999999999993,5.23668970695796e-12,-3959.74086673938,-285.508842704328
5.56999999999993,5.2467920951342e-12,-3909.04908613547,-204.49837066353
5.57999999999993,5.25687619244612e-12,-3850.79878499571,-126.533780252097
5.58999999999993,5.26694077029829e-12,-3784.86323687215,-52.0486353301285
5.59999999999993,5.27698463939622e-12,-3711.15581641129,18.5238968418711
5.60999999999992,5.28700664842981e-12,-3629.63164349743,84.7573668490707
5.61999999999992,5.29700568281062e-12,-3540.28939105174,146.238704479368
5.62999999999992,5.3069806643975e-12,-3443.17371190314,202.57524896507
5.63999999999992,5.31693055356034e-12,-3338.37895491163,253.40224302366
5.64999999999992,5.3268543554903e-12,-3226.05512873485,298.390980441362
5.65999999999992,5.33675113341783e-12,-3106.41745453556,337.257927124742
5.66999999999992,5.34662003240021e-12,-2979.76134671942,369.775307179003
5.67999999999992,5.35646031867987e-12,-2846.48530970746,395.783870159167
5.68999999999992,5.36627144084837e-12,-2707.12475475506,415.208739264829
5.69999999999992,5.37605312181857e-12,-2562.40102305664,428.07968651295
5.70999999999992,5.38580549019319e-12,-2413.28920458531,434.556982582677
5.71999999999992,5.39552926170968e-12,-2261.1087914554,434.964195325285
5.72999999999992,5.40522597686654e-12,-2107.63752422047,429.828238349356
5.73999999999992,5.41489829153521e-12,-1955.24196939552,419.924996649823
5.74999999999992,5.4245502961408e-12,-1807.00447205914,406.324730499244
5.75999999999992,5.43418780301655e-12,-1666.80420399391,390.424849233362
5.76999999999992,5.44381849326207e-12,-1539.2832690009,373.949353527234
5.77999999999992,5.45345177307462e-12,-1429.6114980169,358.888323829864
5.78999999999992,5.46309819539078e-12,-1342.98232513464,347.354860320169
5.79999999999992,5.47276840805112e-12,-1283.85715942937,341.360353136833
5.80999999999992,5.48247179790986e-12,-1255.1181511726,342.549946898496
5.81999999999992,5.49221521749588e-12,-1257.41403923914,351.978559477596
5.82999999999992,5.50200223291255e-12,-1288.97334601576,370.009710542151
5.83999999999992,5.51183312787758e-12,-1345.97340229982,396.371004361642
5.84999999999992,5.5217055591795e-12,-1423.30460611548,430.330287231919
5.85999999999992,5.5316155213152e-12,-1515.43120485697,470.914019878675
5.86999999999992,5.54155826840408e-12,-1617.09080135051,517.09578480776
5.87999999999992,5.55152899050932e-12,-1723.71804477359,567.919317446734
5.88999999999992,5.5615232063674e-12,-1831.60915816829,622.555991816985
5.89999999999992,5.57153693131493e-12,-1937.90769900952,680.315181624988
5.90999999999992,5.58156670444722e-12,-2040.49665511325,740.628610166138
5.91999999999992,5.59160954498218e-12,-2137.85912745567,803.0246885017
5.92999999999992,5.60166288305084e-12,-2228.94327294945,867.102308613297
5.93999999999992,5.6117244890172e-12,-2313.04722978859,932.508491999853
5.94999999999992,5.62179241186592e-12,-2389.7280940333,998.921259094766
5.95999999999992,5.63186492945454e-12,-2458.73309817796,1066.0375037721
5.96999999999992,5.64194051002632e-12,-2519.94912865389,1133.56507555723
5.97999999999992,5.65201778303908e-12,-2573.36639884508,1201.21813344748
5.98999999999992,5.66209551716876e-12,-2619.05260390493,1268.71492051077
5.99999999999992,5.67217260359162e-12,-2657.13461206449,1335.77725865475
6.00999999999992,5.68224804302721e-12,-2687.78545274614,1402.13121583915
6.01999999999992,5.69232093539377e-12,-2711.2149518268,1467.50852872148
6.02999999999992,5.70239047126243e-12,-2727.66285615018,1531.64847180631
6.03999999999992,5.71245592448485e-12,-2737.39355573847,1594.29993192061
6.04999999999992,5.72251664566139e-12,-2740.69191488345,1655.22352908688
6.05999999999992,5.73257205614237e-12,-2737.85975501299,1714.19364651883
6.06999999999992,5.74262164242671e-12,-2729.21276523239,1771.00028447875
6.07999999999991,5.75266495086182e-12,-2715.07767084674,1825.45067179247
6.08999999999991,5.76270158260253e-12,-2695.78956626755,1877.37059396337
6.09999999999991,5.77273118881458e-12,-2671.68936035258,1926.60541258008
6.10999999999991,5.7827534661273e-12,-2643.12131430765,1973.02076581163
6.11999999999991,5.79276815234883e-12,-2610.43067138223,2016.50295144069
6.12999999999991,5.80277502246075e-12,-2573.96138904469,2056.95900295766
6.13999999999991,5.81277388490753e-12,-2534.05399122333,2094.31647754585
6.14999999999991,5.82276457819285e-12,-2491.04355956083,2128.52297986577
6.15999999999991,5.83274696778904e-12,-2445.25788287881,2159.54545056733
6.16999999999991,5.8427209433605e-12,-2397.01578101911,2187.3692507181
6.17999999999991,5.85268641629538e-12,-2346.62561620733,2211.99707536414
6.18999999999991,5.86264331753477e-12,-2294.38400067909,2233.44772958606
6.19999999999991,5.87259159568337e-12,-2240.57470519188,2251.7548000694
6.20999999999991,5.88253121538206e-12,-2185.46776878975,2266.96525380606
6.21999999999991,5.8924621559195e-12,-2129.31880630087,2279.13799356245
6.22999999999991,5.90238441005836e-12,-2072.36850664361,2288.34239732914
6.23999999999991,5.91229798305042e-12,-2014.84231205928,2294.65686608844
6.24999999999991,5.92220289181468e-12,-1956.95026607072,2298.16740126848
6.25999999999991,5.93209916425352e-12,-1898.88701615707,2298.96623007428
6.26999999999991,5.94198683868257e-12,-1840.83195590367,2297.15049381769
6.27999999999991,5.95186596335193e-12,-1782.94949063926,2292.82101129814
6.28999999999991,5.96173659603837e-12,-1725.3894102955,2286.08112643272
6.29999999999991,5.97159880369e-12,-1668.28735331485,2277.03564666375
6.30999999999991,5.98145266210755e-12,-1611.7653458754,2265.78987623722
6.31999999999991,5.99129825564845e-12,-1555.93240139908,2252.44874629081
6.32999999999991,6.00113567694225e-12,-1500.88516622335,2237.11604179477
6.33999999999991,6.01096502660815e-12,-1446.70859837374,2219.89372378531
6.34999999999991,6.02078641296726e-12,-1393.4766675414,2200.88134398829
6.35999999999991,6.03059995174416e-12,-1341.25306560327,2180.17554785075
6.36999999999991,6.04040576575374e-12,-1290.09191825866,2157.86966116305
6.37999999999991,6.05020398457093e-12,-1240.03848959773,2134.05335483588
6.38999999999991,6.0599947441819e-12,-1191.12987262161,2108.81238198462
6.39999999999991,6.06977818661639e-12,-1143.39565987506,2082.22838123354
6.40999999999991,6.07955445956142e-12,-1096.85858942526,2054.37874006689
6.41999999999991,6.08932371595644e-12,-1051.53516471096,2025.33651003422
6.42999999999991,6.09908611357627e-12,-1007.43623437,1995.1703780071
6.43999999999991,6.10884181459485e-12,-964.567548263078,1963.94467002701
6.44999999999991,6.11859098513439e-12,-922.930281389426,1931.71939072129
6.45999999999991,6.12833379480973e-12,-882.521510415421,1898.5503050059
6.46999999999991,6.13807041625936e-12,-843.334661984799,1864.48903960893
6.47999999999991,6.14780102466849e-12,-805.359924944612,1829.58320816615
6.48999999999991,6.15752579728582e-12,-768.584627461879,1793.87655547691
6.49999999999991,6.16724491293482e-12,-732.99358044712,1757.40911697454
6.50999999999991,6.17695855152049e-12,-698.569388475554,1720.21739035106
6.51999999999991,6.18666689353209e-12,-665.292729559086,1682.33451672355
6.52999999999991,6.19637011954223e-12,-633.142605275252,1643.79046896459
6.53999999999991,6.20606840970284e-12,-602.096562905754,1604.61224511206
6.5499999999999,6.21576194323791e-12,-572.130891250592,1564.82406511237
6.5599999999999,6.22545089793283e-12,-543.220791830707,1524.44756949141
6.5699999999999,6.23513544962009e-12,-515.340527150231,1483.50201875845
6.5799999999999,6.24481577166093e-12,-488.463547732656,1442.00449247893
6.5899999999999,6.2544920344229e-12,-462.562599575684,1399.97008714049
6.5999999999999,6.26416440475263e-12,-437.609813657389,1357.41211210498
6.6099999999999,6.27383304544366e-12,-413.576779035124,1314.34228308437
6.6199999999999,6.28349811469909e-12,-390.434601058482,1270.77091259791
6.6299999999999,6.29315976558905e-12,-368.153946140105,1226.70709692303
6.6399999999999,6.30281814550316e-12,-346.705074487651,1182.15889908859
6.6499999999999,6.3124733955982e-12,-326.057862123347,1137.13352751255
6.6599999999999,6.3221256502418e-12,-306.181813480821,1091.63750985356
6.6699999999999,6.33177503645281e-12,-287.046065796288,1045.67686161905
6.6799999999999,6.34142167333983e-12,-268.619386483547,999.257249035583
6.6899999999999,6.35106567153916e-12,-250.870164615387,952.384145689456
6.6999999999999,6.36070713265407e-12,-233.766397603368,905.062982397346
6.7099999999999,6.37034614869746e-12,-217.275674112174,857.299289748807
6.7199999999999,6.37998280154016e-12,-201.365154210893,809.098832710043
6.7299999999999,6.38961716236758e-12,-186.001547720658,760.46773670068
6.7399999999999,6.39924929114736e-12,-171.151091664247,711.41260456376
6.7499999999999,6.40887923611071e-12,-156.779527696349,661.940623864003
6.7599999999999,6.41850703325064e-12,-142.852080322032,612.059664012656
6.7699999999999,6.42813270583966e-12,-129.333436680865,561.778362763518
6.7799999999999,6.43775626396983e-12,-116.187728598195,511.106201756408
6.7899999999999,6.44737770411778e-12,-103.378517563419,460.053570878635
6.7999999999999,6.45699700873685e-12,-90.8687832088129,408.631821371802
6.8099999999999,6.46661414587854e-12,-78.6209158139408,356.853307753428
6.8199999999999,6.47622906884476e-12,-66.5967132688735,304.731418804346
6.8299999999999,6.48584171587206e-12,-54.7573828638558,252.280598059851
6.8399999999999,6.49545200984862e-12,-43.0635481942366,199.516354411113
6.8499999999999,6.50505985806412e-12,-31.4752613843444,146.455263617172
6.8599999999999,6.51466515199242e-12,-19.952020768387,93.1149616781025
6.8699999999999,6.52426776710616e-12,-8.45279408101783,39.5141311865548
6.8799999999999,6.53386756272242e-12,3.06395284352961,-14.3275181075479
6.8899999999999,6.54346438187771e-12,14.6402219428824,-68.3892731890279
6.8999999999999,6.55305805123099e-12,26.3184434826902,-122.649444727119
6.9099999999999,6.56264838099243e-12,38.1414314722113,-177.085395662163
6.9199999999999,6.57223516487626e-12,50.1523341327872,-231.673570018541
6.9299999999999,6.58181818007556e-12,62.3945796457178,-286.389520571337
6.9399999999999,6.59139718725721e-12,74.9118174089523,-341.207934098197
6.9499999999999,6.60097193057554e-12,87.747855038127,-396.102653040599
6.9599999999999,6.61054213770299e-12,100.946591335625,-451.046692566256
6.9699999999999,6.62010751987717e-12,114.551945431968,-506.012252173527
6.9799999999999,6.62966777196362e-12,128.607782277713,-560.970721184139
6.9899999999999,6.63922257253421e-12,143.157834639156,-615.892677653053
6.9999999999999,6.64877158396182e-12,158.245621698537,-670.747880445155
7.00999999999989,6.65831445253211e-12,173.914364346805,-725.505254421519
7.01999999999989,6.66785080857409e-12,190.20689719078,-780.13286888916
7.02999999999989,6.67738026661151e-12,207.165577284898,-834.597909655626
7.03999999999989,6.68690242553758e-12,224.832189549771,-888.866645213643
7.04999999999989,6.69641686881629e-12,243.247848816818,-942.904387741508
7.05999999999989,6.70592316471348e-12,262.452898423632,-996.675449757096
7.06999999999989,6.71542086656178e-12,282.486805258707,-1050.14309738683
7.07999999999989,6.72490951306334e-12,303.388051166902,-1103.26950132356
7.08999999999989,6.73438862863495e-12,325.194020620585,-1156.01568663386
7.09999999999989,6.74385772379985e-12,347.940884580876,-1208.34148265021
7.10999999999989,6.7533162956311e-12,371.663480509176,-1260.20547422898
7.11999999999989,6.76276382825115e-12,396.395188513034,-1311.56495569898
7.12999999999989,6.77219979339223e-12,422.167803669001,-1362.37588884081
7.13999999999989,6.78162365102215e-12,449.011404628581,-1412.59286623553
7.14999999999989,6.79103485003985e-12,476.954218663532,-1462.16908133453
7.15999999999989,6.8004328290449e-12,506.022483415228,-1511.05630654172
7.16999999999989,6.8098170171846e-12,536.240305669563,-1559.20488061501
7.17999999999989,6.81918683508215e-12,567.629517601115,-1606.56370659781
7.18999999999989,6.82854169584881e-12,600.209531013123,-1653.08026147191
7.19999999999989,6.8378810061823e-12,633.997190219995,-1698.70061863521
7.20999999999989,6.84720416755335e-12,669.00662432403,-1743.36948422602
7.21999999999989,6.85651057748114e-12,705.249099756736,-1787.03024823583
7.22999999999989,6.8657996308982e-12,742.732874061476,-1829.62505123115
7.23999999999989,6.87507072160405e-12,781.463052024946,-1871.09486739699
7.24999999999989,6.88432324380604e-12,821.441445348011,-1911.37960448312
7.25999999999989,6.89355659374508e-12,862.66643718025,-1950.41822108181
7.26999999999989,6.90277017140274e-12,905.132852914291,-1988.14886152042
7.27999999999989,6.91196338228527e-12,948.831838737996,-2024.50900846971
7.28999999999989,6.92113563927883e-12,993.750749504815,-2059.43565319944
7.29999999999989,6.93028636456932e-12,1039.87304755006,-2092.86548320572
7.30999999999989,6.9394149916189e-12,1087.17821411501,-2124.73508674464
7.31999999999989,6.94852096719026e-12,1135.64167506316,-2154.98117359056
7.32999999999989,6.95760375340852e-12,1185.23474258028,-2183.54081111574
7.33999999999989,6.96666282984956e-12,1235.9245745193,-2210.35167458676
7.34999999999989,6.97569769564269e-12,1287.67415301081,-2235.35231033113
7.35999999999989,6.98470787157437e-12,1340.44228389458,-2258.48241023527
7.36999999999989,6.99369290217913e-12,1394.18361842187,-2279.68309581112
7.37999999999989,7.00265235780264e-12,1448.84869857867,-2298.89720987405
7.38999999999989,7.01158583662171e-12,1504.38402721869,-2316.06961370109
7.39999999999989,7.020492966605e-12,1560.73216405209,-2331.1474873452
7.40999999999989,7.02937340739822e-12,1617.83184833429,-2344.08063066765
7.41999999999989,7.03822685211697e-12,1675.61814891011,-2354.82176248454
7.42999999999989,7.04705302903066e-12,1734.02264203946,-2363.32681515778
7.43999999999989,7.05585170312069e-12,1792.97361719953,-2369.55522184902
7.44999999999989,7.06462267749653e-12,1852.3963108109,-2373.4701936279
7.45999999999989,7.07336579465356e-12,1912.21316756942,-2375.03898358349
7.46999999999989,7.08208093755733e-12,1972.34412880144,-2374.23313508739
7.47999999999988,7.09076803053934e-12,2032.70694697407,-2371.02871138838
7.48999999999988,7.09942703999064e-12,2093.21752520144,-2365.40650374775
7.49999999999988,7.10805797484053e-12,2153.7902802941,-2357.35221540834
7.50999999999988,7.11666088680866e-12,2214.33852757418,-2346.85661876423
7.51999999999988,7.12523587042092e-12,2274.77488537207,-2333.91568321411
7.52999999999988,7.13378306278032e-12,2335.01169676466,-2318.53067130785
7.53999999999988,7.14230264308664e-12,2394.96146577936,-2300.70820094053
7.54999999999988,7.15079483190026e-12,2454.53730490139,-2280.46027152262
7.55999999999988,7.15925989014806e-12,2513.65339035175,-2257.80425225269
7.56999999999988,7.16769811787181e-12,2572.22542117874,-2232.76283083215
7.57999999999988,7.17610985272226e-12,2630.17107780517,-2205.36392123988
7.58999999999988,7.18449546820527e-12,2687.41047522428,-2175.6405294604
7.59999999999988,7.19285537168977e-12,2743.86660560953,-2143.63057642469
7.60999999999988,7.20119000219079e-12,2799.46576466834,-2109.3766778136
7.61999999999988,7.2094998279452e-12,2854.13795564801,-2072.92588083487
7.62999999999988,7.21778534380148e-12,2907.81726452524,-2034.3293586296
7.63999999999988,7.22604706844979e-12,2960.44219957993,-1993.64206355614
7.64999999999988,7.2342855415228e-12,3011.9559882955,-1950.92234129437
7.65999999999988,7.24250132060275e-12,3062.30682440148,-1906.23150848761
7.66999999999988,7.25069497817456e-12,3111.44805784624,-1859.63339745676
7.67999999999988,7.25886709856942e-12,3159.33832067561,-1811.19387246547
7.68999999999988,7.26701827494753e-12,3205.94158214775,-1760.98032295468
7.69999999999988,7.27514910637185e-12,3251.22712703593,-1709.06114017398
7.70999999999988,7.28326019502809e-12,3295.16945194666,-1655.50518464892
7.71999999999988,7.29135214364756e-12,3337.7480756472,-1600.38125288534
7.72999999999988,7.29942555319054e-12,3378.94726088257,-1543.75755263139
7.73999999999988,7.30748102084672e-12,3418.75564693396,-1485.70119679242
7.74999999999988,7.31551913840716e-12,3457.16579425492,-1426.27772670569
7.75999999999988,7.32354049105636e-12,3494.17364773447,-1365.55067389663
7.76999999999988,7.33154565664007e-12,3529.77789705146,-1303.58119151634
7.77999999999988,7.33953520540483e-12,3563.97934610988,-1240.42769019475
7.78999999999988,7.34750970030571e-12,3596.78010527881,-1176.14563651087
7.79999999999988,7.35546969782363e-12,3628.1828326622,-1110.78736390502
7.80999999999988,7.36341574933395e-12,3658.18991899522,-1044.40199641476
7.81999999999988,7.37134840300225e-12,3686.80266256376,-977.0354686792
7.82999999999988,7.37926820617595e-12,3714.02045865521,-908.73064473711
7.83999999999988,7.38717570823048e-12,3739.84002246865,-839.527536635211
7.84999999999988,7.39507146380783e-12,3764.25466664566,-769.463622607823
7.85999999999988,7.40295603637759e-12,3787.25365482098,-698.574259045901
7.86999999999988,7.41083000203385e-12,3808.8216503389,-626.893179357587
7.87999999999988,7.41869395343594e-12,3828.93827801941,-554.453068829539
7.88999999999988,7.42654850379184e-12,3847.57781325669,-481.286202658016
7.89999999999988,7.43439429078166e-12,3864.70900978505,-407.42513188689
7.90999999999988,7.44223198031773e-12,3880.2950731062,-332.903400310161
7.91999999999988,7.45006227004167e-12,3894.29378253024,-257.756274433039
7.92999999999988,7.4578858924657e-12,3906.65776030882,-182.021467911728
7.93999999999988,7.46570361767437e-12,3917.33488213735,-105.739842271606
7.94999999999987,7.47351625551556e-12,3926.26881935159,-28.9560663227673
7.95999999999987,7.48132465722236e-12,3933.39969964664,48.2807817887371
7.96999999999987,7.48912971642272e-12,3938.66487031343,125.916684199837
7.97999999999987,7.49693236950893e-12,3941.99974578242,203.892236617235
7.98999999999987,7.50473359535376e-12,3943.33871986065,282.142294806362
7.99999999999987,7.51253441437481e-12,3942.61612235207,360.595721139546
8.00999999999987,7.52033588696171e-12,3939.76719979734,439.175235397282
8.01999999999987,7.52813911129269e-12,3934.72910072047,517.797371442198
