"Plot6"
"Time (sec)","Linear Velocity1 (mm/sec)","Linear Velocity3 (mm/sec)","Linear Velocity4 (mm/sec)"
1.48,1.40049435087066e-12,-1860.54185759251,1085.67433146699
1.49,1.41005201063507e-12,-1929.17037972647,1154.37232728574
1.5,1.41960304823275e-12,-1990.41968124287,1222.21957341612
1.51,1.42914757129747e-12,-2044.31930071027,1289.01662144142
1.52,1.43868579326597e-12,-2090.97080405686,1354.57627191787
1.53,1.44821800957557e-12,-2130.52712380697,1418.71807099175
1.54,1.45774457955747e-12,-2163.17847089685,1481.26552215977
1.55,1.46726591229531e-12,-2189.14272217913,1542.04510961803
1.56,1.47678245523016e-12,-2208.65880806208,1600.88649429379
1.57,1.48629468467166e-12,-2221.98207587534,1657.62343374581
1.58,1.49580309764937e-12,-2229.38092589403,1712.09511164187
1.59,1.50530820473575e-12,-2231.13425432264,1764.14765985262
1.6,1.51481052360141e-12,-2227.52936508266,1813.63571430352
1.61,1.52431057316919e-12,-2218.86017888517,1860.4239088629
1.62,1.53380886828302e-12,-2205.42558432793,1904.38822690655
1.63,1.54330591485701e-12,-2187.52786894131,1945.41716875712
1.64,1.55280220549152e-12,-2165.47118649915,1983.41270387567
1.65,1.56229821555707e-12,-2139.56004650001,2018.29099422566
1.66,1.5717943997527e-12,-2110.0978247911,2049.98288383495
1.67,1.58129118914547e-12,-2077.38530492407,2078.43415864713
1.68,1.59078898869448e-12,-2041.71926480435,2103.60558702851
1.69,1.60028817525744e-12,-2003.39112511756,2125.47275562915
1.7,1.60978909607117e-12,-1962.68567666216,2144.02571959449
1.71,1.61929206769058e-12,-1919.87990177914,2159.26848777435
1.72,1.62879737536411e-12,-1875.24190338639,2171.21836584387
1.73,1.63830527281774e-12,-1829.02995187941,2179.90518035576
1.74,1.6478159824147e-12,-1781.49165744867,2185.37040719132
1.75,1.65732969565414e-12,-1732.86327207929,2187.66622700632
1.76,1.66684657396938e-12,-1683.36912266744,2186.85452935069
1.77,1.67636674978489e-12,-1633.22117393607,2183.00588563321
1.78,1.68589032779049e-12,-1582.61871744012,2176.19850934923
1.79,1.69541738639201e-12,-1531.74818094423,2166.51722011051
1.8,1.70494797929893e-12,-1480.78305077832,2154.05242589606
1.81,1.71448213721158e-12,-1429.88389852258,2138.89913592783
1.82,1.72401986957308e-12,-1379.19850244798,2121.15601445116
1.83,1.73356116635431e-12,-1328.86205357142,2100.92448374722
1.84,1.74310599984346e-12,-1278.99743590762,2078.30788279397
1.85,1.75265432641497e-12,-1229.71557048941,2053.41068626856
1.86,1.76220608825642e-12,-1181.11581292982,2026.33778699688
1.87,1.77176121503508e-12,-1133.2863947008,1997.19384354914
1.88,1.78131962548921e-12,-1086.304898824,1966.08269345294
1.89,1.79088122893227e-12,-1040.23876131332,1933.10683144424
1.9,1.80044592666097e-12,-995.145790414425,1898.36695129115
1.91,1.81001361326084e-12,-951.074696440955,1861.96154900677
1.92,1.81958417780516e-12,-908.065625784979,1823.98658469692
1.93,1.82915750494519e-12,-866.150693450835,1784.53519985201
1.94,1.8387334758917e-12,-825.354509939556,1743.69748388933
1.95,1.84831196928766e-12,-785.694695083845,1701.56029949203
1.96,1.85789286197732e-12,-747.182380062907,1658.20714006698
1.97,1.86747602967349e-12,-709.822694018702,1613.71802553205
1.98,1.87706134752562e-12,-673.615228076621,1568.16944929043
1.99,1.88664869059662e-12,-638.554480298335,1521.63434893524
2,1.89623793425266e-12,-604.630278377024,1474.18210713495
2.01,1.90582895447154e-12,-571.82817931621,1425.87857893385
2.02,1.91542162807538e-12,-540.12984580775,1376.78614178344
2.03,1.9250158328936e-12,-509.5133991405,1326.96376520917
2.04,1.9346114478623e-12,-479.953748765547,1276.46709715463
2.05,1.94420835306569e-12,-451.422898916285,1225.34856442493
2.06,1.95380642972505e-12,-423.890232893913,1173.65748491167
2.07,1.96340556014061e-12,-397.322775774947,1121.44018944206
2.08,1.97300562759146e-12,-371.685436367279,1068.74015126119
2.09,1.98260651619834e-12,-346.941229388604,1015.59812139369
2.1,1.99220811075379e-12,-323.051478905318,962.052268399163
2.11,2.00181029652369e-12,-299.976004118781,908.13832121341
2.12,2.01141295902411e-12,-277.673288612025,853.889713905654
2.13,2.02101598377706e-12,-256.10063416809,799.337731361139
2.14,2.03061925604823e-12,-235.214300290207,744.511655070186
2.15,2.04022266056964e-12,-214.96963054446,689.438908378884
2.16,2.04982608124983e-12,-195.321166816791,634.145200663012
2.17,2.05942940087384e-12,-176.222752551243,578.65466999461
2.18,2.06903250079512e-12,-157.627626004888,522.990024005639
2.19,2.07863526062118e-12,-139.488504524876,467.172678745862
2.2,2.08823755789454e-12,-121.75766081695,411.222895436263
2.21,2.09783926777043e-12,-104.386992131161,355.159915073344
2.22,2.10744026269253e-12,-87.3280832624786,299.00209092229
2.23,2.11704041206779e-12,-70.5322642205477,242.767018993584
2.24,2.12663958194135e-12,-53.9506634006732,186.471666660676
2.25,2.13623763467245e-12,-37.5342570514454,130.132499606681
2.26,2.14583442861208e-12,-21.23391580757,73.7656073297884
2.27,2.15542981778327e-12,-5.00044904334593,17.3868274580081
2.28,2.16502365156471e-12,11.2153522316299,-38.9881308406207
2.29,2.17461577437839e-12,27.4626732018075,-95.3435640660869
2.29999999999999,2.18420602538227e-12,43.7906331053867,-151.663651909815
2.30999999999999,2.19379423816858e-12,60.2482424020315,-207.932334799636
2.31999999999999,2.20338024046897e-12,76.8843585555548,-264.133191166461
2.32999999999999,2.21296385386741e-12,93.7476396996468,-320.249314157764
2.33999999999999,2.22254489352211e-12,110.88649547942,-376.263187529331
2.34999999999999,2.23212316789797e-12,128.3490343091,-432.15656048792
2.35999999999999,2.24169847851098e-12,146.183006300612,-487.910321278107
2.36999999999999,2.25127061968661e-12,164.43574107052,-543.504369355508
2.37999999999999,2.26083937833419e-12,183.154079618199,-598.917486033764
2.38999999999999,2.27040453373974e-12,202.384299439405,-654.127203551247
2.39999999999999,2.27996585737997e-12,222.172032002384,-709.10967256835
2.40999999999999,2.28952311276057e-12,242.562171696077,-763.83952818163
2.41999999999999,2.29907605528225e-12,263.598775307635,-818.289754623584
2.42999999999999,2.30862443213847e-12,285.324951090598,-872.431548912055
2.43999999999999,2.31816798224904e-12,307.782736415133,-926.23418381744
2.44999999999999,2.32770643623466e-12,331.012963020427,-979.664870630429
2.45999999999999,2.33723951643733e-12,355.055108821968,-1032.6886223386
2.46999999999999,2.34676693699267e-12,379.947135268053,-1085.26811795683
2.47999999999999,2.35628840396025e-12,405.725309194787,-1137.36356890883
2.48999999999999,2.36580361551881e-12,432.424008189448,-1188.93258850586
2.49999999999999,2.37531226223356e-12,460.075508460153,-1239.93006575536
2.50999999999999,2.38481402740348e-12,488.709754285074,-1290.30804489319
2.51999999999999,2.39430858749671e-12,518.354108173746,-1340.01561223905
2.52999999999999,2.40379561268287e-12,549.03308094974,-1388.99879216107
2.53999999999999,2.41327476747141e-12,580.768041109453,-1437.20045414544
2.54999999999999,2.42274571146527e-12,613.576902929824,-1484.56023316856
2.55999999999999,2.43220810023978e-12,647.473792993869,-1531.01446578571
2.56999999999999,2.4416615863564e-12,682.468695025571,-1576.49614454663
2.57999999999999,2.45110582052138e-12,718.567073154248,-1620.93489355729
2.58999999999999,2.46054045289903e-12,755.769474070297,-1664.25696818835
2.59999999999999,2.46996513458911e-12,794.071108831255,-1706.38528210611
2.60999999999999,2.47937951927739e-12,833.461415509802,-1747.23946494521
2.61999999999999,2.48878326506769e-12,873.923604286144,-1786.73595405687
2.62999999999999,2.49817603650293e-12,915.434187090565,-1824.78812384593
2.63999999999999,2.50755750678112e-12,957.962494433608,-1861.30645621797
2.64999999999999,2.5169273601712e-12,1001.47018264404,-1896.19875564288
2.65999999999999,2.52628529463135e-12,1045.91073535145,-1929.37041220231
2.66999999999999,2.53563102463035e-12,1091.22896372281,-1960.72471581853
2.67999999999999,2.54496428416999e-12,1137.36051061636,-1990.16322454362
2.68999999999999,2.55428483000346e-12,1184.231364551,-2017.58618940809
2.69999999999999,2.56359244504133e-12,1231.75739003752,-2042.89303777005
2.70999999999999,2.57288694193294e-12,1279.84388154021,-2065.98291647696
2.71999999999999,2.58216816680695e-12,1328.38514892534,-2086.75529531197
2.72999999999999,2.59143600315027e-12,1377.26414285834,-2105.11063026306
2.73999999999999,2.60069037579991e-12,1426.3521290516,-2120.95108501611
2.74999999999999,2.6099312550174e-12,1475.5084206298,-2134.18130781531
2.75999999999999,2.61915866061028e-12,1524.58017805469,-2144.70925939334
2.76999999999998,2.62837266606032e-12,1573.40228604114,-2152.44708611416
2.77999999999998,2.63757340261292e-12,1621.7973166623,-2157.31203078084
2.78999999999998,2.64676106327616e-12,1669.57558306397,-2159.22736801352
2.79999999999998,2.65593590669247e-12,1716.53533612303,-2158.12338351567
2.80999999999998,2.66509826076216e-12,1762.46293991376,-2153.93828113137
2.81999999999998,2.67424852608049e-12,1807.13336514865,-2146.6191896777
2.82999999999998,2.68338717899472e-12,1850.31064355676,-2136.12305949074
2.83999999999998,2.69251477429658e-12,1891.74849298919,-2122.41753974506
2.84999999999998,2.70163194747048e-12,1931.19106546114,-2105.48179217277
2.85999999999998,2.71073941643653e-12,1968.37380768254,-2085.30721806708
2.86999999999998,2.71983798273552e-12,2003.02443254782,-2061.8980786272
2.87999999999998,2.72892853210622e-12,2034.86399392436,-2035.27198921193
2.88999999999998,2.7380120344124e-12,2063.60805426918,-2005.4602663721
2.89999999999998,2.74708954288409e-12,2088.9679341645,-1972.50811011544
2.90999999999998,2.75616219264562e-12,2110.65203144614,-1936.47460480294
2.91999999999998,2.76523119850993e-12,2128.36719958318,-1897.43252665473
2.92999999999998,2.77429785202457e-12,2141.82017767647,-1855.46795016949
2.93999999999998,2.78336351775724e-12,2150.71907148366,-1810.67965258806
2.94999999999998,2.792429628806e-12,2154.77489571203,-1763.17832409552
2.95999999999998,2.80149768150844e-12,2153.70320544828,-1713.08560280672
2.96999999999998,2.81056922930105e-12,2147.22587098551,-1660.53296875882
2.97999999999998,2.81964587563994e-12,2135.07308930917,-1605.66055128786
2.98999999999998,2.82872926582832e-12,2116.98578234286,-1548.61593179013
2.99999999999998,2.83782107749613e-12,2092.71861383352,-1489.55306175165
3.00999999999998,2.84692300932714e-12,2062.04397396208,-1428.63146884186
